stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,57.83,0,0,5.26,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,44.06,0,0,0,6.29,0,0,0,0,0,84.97,0,0,0,0,0,0,0,0,0,0,0,72.38,198.26,0,0,18.88,0,22.03,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,2,7,29,81,3,0,2,0,0,0,0,18,157,0,0,9,1,0,1,6,114,5,0,109,47,201,3,21,1,0,109,0,6,1,26,11,232,0,0,1,0,1
 24-34,0,16.42,51.71,100.97,0.82,0,12.31,0,2.46,0.82,0.82,13.13,45.97,1.64,8.21,24.63,5.75,0.82,16.42,72.24,253.64,41.04,0,51.71,229.02,169.1,85.37,52.53,0,0,220.81,0,0.82,10.67,100.97,3.28,164.99,0,0,24.63,0,4.1
 36-46,1.61,12.09,8.06,46.73,0,0,16.92,1.61,5.64,2.42,11.28,28.2,5.64,7.25,15.31,6.45,8.06,4.83,20.95,70.9,292.46,39.48,1.61,57.2,190.94,210.28,100.71,45.92,0,0,219.95,0,0,12.09,111.99,0,86.21,0,0,47.53,0,0.81
 48-58,1.15,11.48,9.18,92.96,1.15,0,46.48,4.59,19.51,1.72,37.87,40.17,35,5.74,25.25,7.46,21.8,9.18,36.72,62.54,504.95,36.72,1.72,44.18,234.11,166.98,83.78,56.81,0,0,234.11,0,0,6.31,138.86,0,102.14,0,0.57,58.53,0,2.87
 60-70,0.98,10.8,1.96,143.3,2.94,3.93,46.13,17.67,27.48,5.89,66.74,87.36,13.74,5.89,38.28,4.91,59.87,16.69,53,36.32,752.83,29.45,7.85,28.46,217.9,122.69,89.32,54.97,0.98,0,250.29,0,0,9.82,88.34,0,58.89,10.8,5.89,62.82,10.8,4.91
 72-82,0,44.17,1.96,221.86,10.8,60.86,120.74,28.47,33.38,2.94,168.85,189.46,15.71,13.74,55.95,17.67,69.7,26.5,112.89,49.08,1241.8,70.68,16.69,29.45,362.23,82.46,160.99,89.33,0.98,6.87,336.71,0.98,0,2.94,56.94,0,76.57,45.16,21.6,134.49,39.27,4.91
 84-94,1.06,43.54,11.68,347.29,7.43,111.51,132.75,44.61,56.29,4.25,131.69,321.8,9.56,9.56,62.66,30.8,59.47,24.43,412.07,79.65,978.14,55.23,21.24,23.36,275.07,123.2,169.93,125.32,0,2.12,730.68,0,0,8.5,109.39,0,56.29,157.18,19.12,118.95,50.98,0
 96-106,0,51.36,18.58,526.75,25.14,178.13,160.65,74.31,155.18,5.46,212.01,455.72,2.19,31.69,120.21,53.55,72.13,66.66,572.65,63.39,984.65,95.08,22.95,29.51,467.74,111.47,293.98,155.18,0,7.65,1147.49,3.28,0,28.41,127.86,0,88.52,228.4,40.44,199.99,104.91,2.19
108-118,1.53,36,22.98,395.24,9.96,159.32,86.55,75.83,173.87,4.6,176.94,409.02,0,14.55,71.23,35.23,105.7,47.49,1122.9,81.19,883.92,55.92,14.55,27.57,324,104.94,190.72,134.04,0,1.53,820.35,0,0,21.45,102.64,0,51.32,232.09,19.15,139.41,57.45,5.36
120,0,25.48,7.84,305.73,5.88,60.75,58.79,54.87,139.14,1.96,184.22,235.17,1.96,9.8,105.83,29.4,72.51,41.16,466.43,33.32,846.63,48.99,11.76,21.56,301.81,164.62,148.94,109.75,0,3.92,517.38,0,0,15.68,35.28,0,54.87,92.11,21.56,146.98,88.19,1.96
