stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,25,0,0,1,0,7,0,0,0,0,10,0,0,1,0,0
 24-34,0,0,0.82,0.82,3.28,0.82,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0.82,1.64,148.57,0,0.82,0,0,4.1,0,1.64,0,0.82,57.46,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,0,0,14.5,0,0,0.81,2.42,0,0,0,0,0,0,0,0,3.22,0,1.61,0,328.71,0,0,0,0,0.81,0,0,0,0,103.13,0,0,4.03,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,95.83,0,0.57,0,23.53,0,0.57,0,2.3,0,1.15,0.57,0.57,7.46,0,0.57,1.15,426.91,0,0.57,0,0,0.57,0,0,0,0,84.92,0,0,3.44,0,0
 60-70,0,0,0,0,3.93,0.98,0,222.81,0.98,0,0,68.71,0,0,0.98,1.96,0,1.96,0.98,0,16.69,0,0.98,0,728.29,0,0,3.93,0,2.94,0,0,0,0,108.95,0,0,2.94,0,0
 72-82,0,0,0,0,8.83,2.94,0,201.24,0.98,0.98,1.96,99.15,0.98,0,0.98,3.93,0,2.94,0,0,30.43,0.98,0.98,4.91,731.34,0,0.98,4.91,0,4.91,0,0.98,0,0,84.42,0,0.98,3.93,1.96,1.96
 84-94,0,0,0,0,16.99,2.12,0,179.48,0,1.06,1.06,60.54,2.12,0,0,5.31,0,7.43,1.06,0,27.61,0,0,2.12,398.26,0,0,10.62,0,9.56,0,1.06,0,0,56.29,1.06,2.12,4.25,2.12,3.19
 96-106,0,0,3.28,0,17.49,3.28,0,175.95,1.09,0,0,67.76,1.09,0,2.19,4.37,2.19,3.28,1.09,0,36.06,0,1.09,2.19,343.15,1.09,0,15.3,0,7.65,0,2.19,0,0,28.41,2.19,0,10.93,2.19,2.19
108-118,0,0,1.53,0,12.26,3.83,0.77,181.53,0.77,0.77,2.3,52.85,0.77,0,0,3.83,0,12.26,0,1.53,19.92,0,0.77,1.53,395.24,0,0,12.26,0,8.43,0,1.53,0,0,26.04,1.53,0,6.13,0.77,0.77
120,0,0,0,0,27.44,1.96,1.96,143.06,0,1.96,1.96,88.19,0,0,0,0,0,7.84,1.96,3.92,15.68,1.96,0,3.92,423.31,3.92,0,13.72,0,3.92,1.96,0,1.96,0,31.36,0,0,5.88,0,0
