stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,3.22,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0.57,1.15,0,0.57,0,3.44,0,0,0,2.3,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,2.94,0,0,0,1.96,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,1.06,2.12,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,3.28,1.09,1.09,1.09,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,1.53,0.77,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
