stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,7,0,0,7,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,0,0,51.71,0,0,28.73,0
 36-46,0,0,0,0.81,1.61,0,0,0,0.81,0,0,82.18,0.81,0,19.34,0
 48-58,0,0.57,0,5.16,0.57,0,0,0,1.15,0,0,94.1,0,0,11.48,0
 60-70,0,0,0,15.7,1.96,0,0.98,0,1.96,0.98,0.98,164.9,0,0.98,11.78,0
 72-82,0,0,0,23.56,7.85,0,0,0,1.96,0,0,215.97,0,0,5.89,0
 84-94,0,1.06,0,20.18,4.25,0,0,0,1.06,1.06,0,112.58,1.06,0,3.19,1.06
 96-106,0,1.09,0,15.3,4.37,1.09,0,1.09,4.37,1.09,0,112.56,0,0,0,0
108-118,0,0.77,0,5.36,1.53,0,0,0,3.06,0,0,98.04,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,74.47,1.96,0,5.88,1.96
