stage,axial,blastomeres,epidermis,erythrocytes,fin.epithelia,glial,gut,immune,ionocyte,mucous,neural,paraxial.mesoderm,periderm,somites,vasculature
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,0,0,0,4.91,0,0,0.98,0,6.87,0,0.98
 84-94,0,0,0,0,0,0,0,4.25,1.06,0,0,0,9.56,0,2.12
 96-106,0,0,0,1.09,0,1.09,0,6.56,0,0,0,0,44.81,0,0
108-118,0,0,0,0,0.77,0,0.77,2.3,0.77,0.77,2.3,0,32.94,0,0
120,0,0,1.96,0,0,0,0,3.92,0,0,0,0,15.68,0,0
