stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,89.38,5.26,0,0,21.03,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,18.88,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,14,0,6,0,1,0,0,1,1,0,0,5,4,21,0,0,0,1,3,5,1,0,15,6,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,3.28,0,13.95,0,1.64,0,0,0.82,0,0,0.82,0,6.57,0,0
 36-46,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0.81,0.81,0.81,0,8.06,0.81,0,0,0,1.61,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0,2.3,0,4.02,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,5.89,0,0,0.98,0,0.98,0,0,0,1.96,0,6.87,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,4.91,0,2.94,0,0,0.98,0,0,0.98,0.98,0,0.98,0,3.93,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,5.31,4.25,1.06,1.06,0,0,0,0,0,1.06,0,1.06,0,1.06,0,1.06,1.06,0,5.31,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,1.09,0,0,2.19,0,0,0,0,0,1.09,0,1.09,0,2.19,1.09,0,5.46,0,0,0,0,0,2.19,0
108-118,0,0,0,0,3.83,0,0.77,1.53,1.53,3.06,0,0,1.53,1.53,0,0.77,0,0,0,0,1.53,0,3.06,0,0,0,0,0,1.53,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
