stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,46,30,2,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,3.28,41.04,0,0,0,0,0,0,0.82,0,0.82,4.1,0,13.95,36.12,0,0.82,0,0,0,2.46,0,28.73,69.77,8.21,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,69.29,0,0,0,0,0,0,0.81,0,0,2.42,0,4.83,29,0,0.81,0.81,0,0,0.81,0,13.7,2.42,3.22,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,14.35,74.02,0.57,2.87,0,0,0,0,0,0,0,5.16,0.57,11.48,45.9,0,0,0,0,0,0,0,20.08,0,8.03,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,32.39,46.13,0,4.91,0,0,0,0,0,0.98,0,6.87,0,8.83,73.61,0,0.98,0.98,0,0,0.98,0,13.74,0,8.83,0,0.98,0,2.94
 72-82,0,0,0.98,0,0,0,0,14.72,42.21,0,5.89,0,0,0,0,0.98,0.98,0,11.78,0,7.85,42.21,0,2.94,5.89,0,0.98,0.98,0,10.8,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,8.5,52.04,0,3.19,0,0,0,0,0,0,1.06,3.19,0,15.93,18.05,0,0,4.25,1.06,0,4.25,1.06,18.05,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,13.11,90.71,0,8.74,0,0,1.09,1.09,1.09,2.19,0,8.74,0,12.02,20.76,0,1.09,9.84,1.09,0,1.09,1.09,15.3,0,2.19,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,0.77,9.96,70.47,0.77,1.53,0,0,0,0.77,0,2.3,3.06,3.83,0,19.15,14.55,0.77,0,4.6,0,0,0.77,0,15.32,0,0,0,2.3,0,0
120,0,0,0,0,0,1.96,0,5.88,43.12,0,0,0,0,0,0,0,0,0,0,0,23.52,13.72,0,0,3.92,0,0,0,0,7.84,0,0,0,1.96,0,0
