stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,1,4,0,0,0,0,3,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0,7.39,0,2.46,41.04,0,0.82,0,0,4.1,0,0,0
 36-46,0,0,3.22,0,0,0,0,0,5.64,0,0,0,0,0,25.78,0,1.61,49.15,0,0,0,0,2.42,0,0,0
 48-58,0,0,1.15,0,0,0.57,0,0.57,7.46,0,0,0,0,1.15,53.94,0,0.57,30.41,0,0,0,0,2.87,0,0,0
 60-70,0,0,0.98,1.96,0,3.93,0,0.98,12.76,0,0,0,0,1.96,84.41,0.98,0,51.04,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,5.89,0,0,12.76,0,1.96,17.67,0.98,0,0.98,0,1.96,178.66,0.98,1.96,84.42,0,3.93,0,0.98,7.85,0,0,0.98
 84-94,0,0,2.12,0,0,8.5,0,1.06,7.43,0,0,0,1.06,1.06,107.27,1.06,2.12,32.92,0,6.37,0,0,4.25,1.06,0,0
 96-106,0,0,3.28,0,0,4.37,1.09,1.09,12.02,0,0,0,0,3.28,97.26,2.19,6.56,40.44,1.09,7.65,0,0,1.09,1.09,1.09,0
108-118,0,0,3.83,0,1.53,3.83,0,0,9.19,0,0,0,1.53,3.83,104.94,0,0.77,49.02,0,8.43,0,2.3,1.53,0,0,1.53
120,0,0,3.92,0,0,5.88,0,0,3.92,0,0,0,0,0,66.63,0,1.96,64.67,0,1.96,0,0,1.96,0,0,0
