stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,34,0,0,0,0,0,0
 24-34,0,0,6.57,0,0,0,5.75,0,0,0,8.21,0,0,0,0,0,5.75,0,6.57,0,0,0.82,8.21,0,0,0,0,0,88.65,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,13.7,0,0,0.81,10.47,0,0,0,0,0,3.22,0.81,1.61,0,0,0,8.86,1.61,0,0,0,0,50.76,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,18.36,0,0,0,16.64,0,0,0,0,0,15.49,0,1.15,0,0,0.57,7.46,0,0,0,0,0,29.84,0.57,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,22.58,0,0,3.93,32.39,0,0,0,0,0,40.24,0,1.96,0,0.98,0,9.82,0,0,0,0,0,37.3,1.96,0,0,0,0,0.98
 72-82,0,4.91,0.98,0,0,0.98,23.56,1.96,0.98,3.93,132.52,0,0,0,0.98,0,144.3,0,11.78,0,0,0,43.19,0,1.96,0,0.98,0,68.72,1.96,0,0,1.96,0,1.96
 84-94,0,5.31,0,0,4.25,3.19,31.86,0,1.06,5.31,250.64,0,0,1.06,0,0,481.1,0,6.37,0,1.06,0,28.68,0,1.06,0,4.25,0,135.94,1.06,0,0,0,0,0
 96-106,0,12.02,0,8.74,5.46,1.09,38.25,0,3.28,5.46,277.58,0,0,1.09,1.09,0,719.09,1.09,16.39,1.09,0,0,112.56,1.09,1.09,1.09,8.74,1.09,140.98,4.37,0,0,2.19,0,2.19
108-118,0,3.06,0.77,3.83,1.53,3.83,25.28,0,0,4.6,167.75,0.77,0.77,1.53,0,0.77,1326.65,0,11.49,0,0.77,1.53,87.32,0,0.77,0.77,6.13,0,136.34,0,1.53,0,2.3,0,0.77
120,0,7.84,1.96,1.96,1.96,0,23.52,1.96,0,3.92,121.51,0,1.96,1.96,0,0,595.77,0,3.92,0,0,1.96,35.28,0,0,1.96,5.88,0,76.43,0,0,1.96,1.96,1.96,0
