stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,1,0,1,0,1,1,1,6,0,0,0,0,1,0,3,0,0,13,17,0,0,0,2,0,0,3,0,428,529,11,0,0,0,0,0
 24-34,0,0,13.13,0.82,0,32.01,227.38,0,0.82,3.28,0.82,0,6.57,0.82,1.64,0,2.46,3.28,0,26.27,0,0,55,313.57,4.93,6.57,7.39,0,0,20.52,0.82,0,257.75,390.73,64.85,0,0,9.85,0,1.64
 36-46,0,0,3.22,0.81,0,46.73,484.21,0.81,1.61,8.86,0,0,5.64,0.81,0.81,0,0.81,1.61,0.81,22.56,0,0,39.48,271.51,1.61,1.61,1.61,0,0,13.7,0,0,228,31.42,66.87,0,0,4.83,0,3.22
 48-58,0,0,6.31,0,0,125.66,469.37,1.72,1.15,25.25,0,1.15,5.16,1.72,0.57,0,0.57,0.57,1.15,57.95,1.15,1.15,38.44,343.71,1.72,1.15,2.3,0,0,12.62,0,0.57,182.47,0,79.19,0,0.57,3.44,0.57,6.89
 60-70,0,0,3.93,3.93,0,98.15,357.27,3.93,0,11.78,0.98,0,3.93,1.96,0,0.98,0,0.98,0,32.39,0.98,1.96,42.21,151.15,0.98,0,0,0.98,0.98,5.89,0,0,115.82,0,26.5,0,0.98,1.96,0,0.98
 72-82,0,0,4.91,2.94,0,73.62,256.21,1.96,1.96,16.69,0,0,1.96,2.94,0.98,0.98,0.98,2.94,0.98,45.16,0,0.98,28.47,157.07,0,0.98,1.96,0.98,0,5.89,0,0.98,69.7,0,11.78,0.98,0.98,1.96,3.93,2.94
 84-94,0,1.06,7.43,3.19,0,43.54,398.26,2.12,1.06,12.74,2.12,0,4.25,1.06,3.19,1.06,0,4.25,2.12,29.74,2.12,2.12,25.49,100.89,1.06,2.12,5.31,0,0,16.99,0,0,123.2,0,5.31,1.06,2.12,6.37,7.43,0
 96-106,0,0,9.84,16.39,0,76.5,559.54,3.28,1.09,19.67,2.19,0,10.93,6.56,1.09,4.37,3.28,3.28,1.09,63.39,5.46,3.28,41.53,159.56,1.09,0,6.56,2.19,4.37,18.58,0,0,127.86,0,12.02,2.19,3.28,7.65,27.32,6.56
108-118,0,1.53,5.36,6.13,0,25.28,301.79,0,0,9.19,0,0,8.43,3.06,0,1.53,1.53,3.06,1.53,36,0.77,0.77,32.94,81.96,1.53,1.53,1.53,0,0.77,6.89,0,0,114.89,0,1.53,0.77,2.3,5.36,13.79,1.53
120,0,0,1.96,0,3.92,19.6,146.98,3.92,0,15.68,1.96,0,3.92,0,0,1.96,0,3.92,0,19.6,0,0,35.28,96.03,0,0,0,0,0,5.88,1.96,0,47.03,0,1.96,0,0,0,19.6,1.96
