stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0
 14-21,0,0,1,0,0,0,3,0,0,1,0,0,0,0,4,10
 24-34,0,0,0,0,0,0,5.75,0,0,0.82,3.28,0,0,0,2.46,4.1
 36-46,0,0,0,0,0,0,4.03,0,0,2.42,5.64,0,0,0,2.42,6.45
 48-58,0,0,0,0,0,0.57,1.72,0,0,1.72,0.57,0,0,0,0,6.31
 60-70,0,0,0.98,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0.98,1.96
 72-82,0,0,0,0.98,0,0,2.94,0.98,0,0.98,1.96,0.98,0,0,0.98,1.96
 84-94,0,0,1.06,0,1.06,1.06,2.12,1.06,1.06,1.06,3.19,1.06,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0.77,0.77,1.53,3.06,0.77,1.53,0,0,1.53,0.77,0.77,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
