stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,120,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,321,0,0,14,0,0,1,0,0,66,0,0,0,0,0
 24-34,0,0,0,1.64,192.08,0,0,13.13,0,8.21,0,79.62,0,0,0,0,0.82,0,2.46,0,0,4.93,3.28,0,5.75,1127.86,2.46,1.64,28.73,0,0,13.95,0,0,330.81,0,0,2.46,0,0.82
 36-46,0,0,0,0,95.87,0,0,8.06,0,20.14,0,249.76,0,0,0.81,0,0,0,4.03,0,0.81,8.86,2.42,0,0.81,889.46,0.81,0.81,16.11,0,0,24.98,0,0,348.85,0,0,2.42,0,1.61
 48-58,0,0,0,0,83.78,0,0,29.26,0.57,33.28,0.57,455.03,0,0.57,3.44,0.57,0.57,0.57,17.21,0,0,13.77,0.57,0.57,2.87,332.23,0,1.72,13.77,0,0,21.8,0,0,247.88,0,0,0,0,1.72
 60-70,0,0,0,0,76.56,0.98,0,17.67,0,40.24,0,460.33,0.98,0,2.94,0,0.98,0,15.7,0,0,11.78,0,0.98,0.98,107.97,0,0.98,6.87,0,0.98,32.39,0,0,88.34,0,0,0.98,0,0
 72-82,0,0,0.98,0,124.67,2.94,0,42.21,0,50.06,0,621.39,0.98,0,7.85,0,1.96,0,20.61,0,0.98,28.47,4.91,0.98,2.94,134.49,0,0,16.69,0,2.94,56.94,0,0,36.32,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,206.04,1.06,0,32.92,0,96.65,0,413.13,1.06,0,2.12,0,8.5,0,22.3,0,0,16.99,5.31,0,2.12,93.46,0,0,35.05,0,0,152.93,0,0,47.79,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,298.35,5.46,3.28,53.55,0,107.1,0,351.9,4.37,0,5.46,1.09,6.56,0,45.9,1.09,0,44.81,13.11,4.37,6.56,72.13,0,4.37,33.88,0,2.19,245.89,0,1.09,31.69,0,1.09,1.09,0,0
108-118,0,0,0,3.06,265.79,0,1.53,14.55,0,147.06,0.77,325.53,3.83,0,3.06,0,9.96,0.77,26.81,1.53,0.77,29.87,4.6,3.06,0,106.47,0,0.77,33.7,0,2.3,230.55,0.77,0,20.68,1.53,0.77,0.77,0,0.77
120,0,0,0,0,266.53,0,0,21.56,0,92.11,0,305.73,3.92,0,3.92,3.92,3.92,0,11.76,1.96,0,9.8,1.96,1.96,3.92,90.15,0,0,25.48,0,0,166.58,1.96,0,5.88,1.96,0,1.96,0,0
