stage,blastomeres,eye,glial,melanocytes,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,6,0,3,1,0,10,20,0
 24-34,0,0,1.64,0.82,1.64,0.82,0,0,7.39,0
 36-46,0,0,1.61,0,2.42,2.42,0,0.81,4.03,0
 48-58,0,0,0.57,0,0.57,1.72,0,0,2.87,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,0,0,0.98,0,0,0,0.98
 84-94,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0
