stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,5.26,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0
