stage,axial,blastomeres,erythrocytes,fin.epithelia,fin.mesenchyme,immune,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,6.13,0,0,6.13
  7-9,0,0,0,0,0,0,0,0,7.89,0,5.26,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,2.3,0,0,1.15,0.57,0,0
 60-70,0,0,0,0,0.98,3.93,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,3.93,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,12.74,0,0,1.06,0,0,2.12
 96-106,0,0,0,1.09,0,6.56,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0,6.89,0,0.77,0,0,0,0.77
120,0,0,0,0,0,19.6,0,0,0,0,0,0
