stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,15,0,0,1,0,8,0,0,6,8,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0.82,0,0,0,1.64,0,0.82,4.93,0.82,24.63,0,0,0,0.82,0,0,1.64,0,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0.81,0,0,4.03,0.81,0,0,0,0,0,3.22,0.81,26.59,0,0,0,1.61,0,0.81,1.61,0,11.28,0,0,0,0,0
 48-58,0,0,0.57,0,7.46,1.72,0.57,0.57,2.3,0,0,0,0,0,0,3.44,0.57,17.21,0,0,0,0,0,0,0.57,0,6.31,0,0,0,0,0
 60-70,0,0,0,0,6.87,0.98,0,0,3.93,0.98,0,0,0,0,0,0.98,0.98,25.52,0,0,0,1.96,0,0,0.98,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,0,0,1.96,0,0,0.98,0,0.98,0.98,3.93,0,29.45,1.96,1.96,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0.98
 84-94,0,0,0,0,5.31,0,0,0,1.06,0,0,0,0,0,1.06,3.19,0,12.74,0,1.06,0,4.25,0,1.06,0,0,1.06,0,0,2.12,0,0
 96-106,0,1.09,1.09,0,7.65,1.09,0,0,1.09,0,1.09,0,0,0,0,2.19,4.37,13.11,0,0,0,3.28,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,6.13,0.77,0,0,3.06,0,1.53,0,0.77,0,0,3.83,1.53,13.79,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,1.96,1.96,1.96,0,0,0,0,1.96,5.88,17.64,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
