stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,152.47,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,12.59,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,135.32,9.44,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,6,26,4,0,19,0,1,0,5,1,0,2,0,0,0,0,0,0,11,0,0,13,164,104,0,3,4,0,0,7,0,14,37,77,0,1,0,0
 24-34,0,0,1.64,0,13.95,1.64,0,40.22,0.82,1.64,0.82,8.21,0,0.82,3.28,0,2.46,0,0.82,1.64,0.82,65.67,0,0,22.16,701.83,14.78,2.46,7.39,0,0,0.82,0,3.28,6.57,13.13,180.59,0,7.39,0,0.82
 36-46,0,0,1.61,0,3.22,0.81,0,54.79,0,0,1.61,33.84,0,0,6.45,0,4.03,0.81,0,0,0.81,78.15,0,0.81,18.53,890.26,6.45,1.61,4.03,0,0,2.42,0.81,1.61,2.42,0,304.54,0,4.03,0,1.61
 48-58,0.57,0,2.87,0,2.3,0,0,65.41,1.15,0,1.72,66.56,0,0,1.72,0.57,1.72,0.57,0,0,0.57,114.76,0.57,1.15,15.49,379.29,1.72,2.3,6.89,0,0.57,0.57,0,0.57,0,0,187.06,1.15,2.87,0,0
 60-70,0,0,2.94,0,2.94,0.98,0,103.06,0,0.98,2.94,52.02,1.96,0,6.87,0,1.96,0.98,1.96,0,0.98,200.23,0,4.91,10.8,248.33,2.94,0.98,5.89,0,0,0.98,0,0,0,0,75.58,5.89,2.94,0.98,2.94
 72-82,0,0,0.98,0,5.89,1.96,0,67.73,0.98,1.96,2.94,73.62,1.96,0,3.93,0,1.96,0.98,0,0,1.96,264.07,0.98,2.94,18.65,151.18,0.98,3.93,9.82,0,2.94,0,0,0,0,0,23.56,1.96,1.96,2.94,4.91
 84-94,0,0,1.06,0,5.31,2.12,0,67.97,0,1.06,5.31,38.23,6.37,0,2.12,0,2.12,2.12,2.12,2.12,5.31,146.56,1.06,9.56,9.56,90.27,3.19,1.06,10.62,0,1.06,0,0,0,0,0,19.12,1.06,6.37,5.31,0
 96-106,0,0,2.19,0,8.74,5.46,5.46,49.18,0,0,2.19,63.39,15.3,0,1.09,0,2.19,5.46,0,1.09,1.09,139.88,1.09,3.28,6.56,68.85,3.28,2.19,19.67,0,1.09,0,0,0,0,0,3.28,5.46,3.28,4.37,3.28
108-118,0,0,3.83,0,3.06,1.53,9.96,49.79,0.77,0.77,3.06,41.36,6.89,0,1.53,1.53,5.36,10.72,0,7.66,3.06,121.02,0.77,2.3,11.49,91.15,8.43,2.3,19.92,0,3.06,0.77,0,3.06,0.77,0,5.36,4.6,6.89,4.6,8.43
120,0,0,1.96,0,9.8,0,3.92,27.44,0,1.96,1.96,41.16,13.72,0,1.96,3.92,3.92,15.68,0,0,1.96,74.47,0,1.96,11.76,74.47,1.96,3.92,7.84,0,0,1.96,0,0,0,0,5.88,7.84,0,1.96,1.96
