stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,23.66,0,7.89,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,2.87,0.57,0,1.15,0,1.72,0,3.44,0,0,1.15,0,0.57,0.57,0
 60-70,0,0,0,5.89,0,0.98,0.98,0,0.98,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0.98,4.91,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,3.19,0,1.06,0,0,1.06,1.06,3.19,0,0,2.12,0,0,0,0
 96-106,0,0,0,8.74,0,0,1.09,0,1.09,0,5.46,1.09,0,1.09,0,1.09,0,0
108-118,0,0,1.53,3.83,0,0,0.77,0,0,0,0.77,0,0,0.77,1.53,0.77,0.77,0
120,0,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0
