stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0,14.78,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,4.03,0,0.81,0,44.31,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,1.72,0,0,5.74,0,0,0.57,85.5,0,0,0,0,0.57,0,0,6.89,0,0.57,0,0,0
 60-70,0,0,0,0,0,18.65,0,0.98,0,0,0,19.63,0.98,0,2.94,279.73,0,0,0,0,0,0,0,25.52,0,0,0,0.98,0
 72-82,0,0,1.96,0.98,0,30.43,0,1.96,4.91,0.98,0,59.88,0.98,2.94,2.94,310.21,0,0,0,0.98,0,0,0,28.47,0,1.96,1.96,0,0
 84-94,0,0,2.12,1.06,0,40.36,1.06,3.19,8.5,1.06,0,24.43,0,2.12,2.12,190.1,0,0,0,0,0,0,0,21.24,0,2.12,0,0,0
 96-106,0,0,3.28,0,0,31.69,0,0,7.65,0,1.09,28.41,0,1.09,1.09,160.65,0,0,0,0,0,0,0,3.28,0,1.09,2.19,2.19,0
108-118,0,0,0.77,0,1.53,29.87,0,0,3.83,0,0,30.64,0,1.53,2.3,177.7,0,0,0,0.77,0.77,0.77,0,3.06,0.77,0.77,1.53,1.53,0
120,0,0,3.92,0,0,27.44,0,1.96,1.96,3.92,1.96,15.68,0,1.96,0,178.34,0,1.96,0,3.92,0,0,0,3.92,0,1.96,5.88,0,1.96
