stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,0,1,11,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,4.1,0,3.28,0,0,0,0,2.46,0,0,13.13,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0,0,4.03,0,3.22,0,0,0,0,2.42,0,0,6.45,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,2.3,1.72,1.15,0,0,0,0,0.57,0,0,6.31,0,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,5.89,0.98,0.98,0,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0.98,0,0,0,2.94,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0.98,0,0,0,0,0,0,3.93,17.67,0
 84-94,0,1.06,0,0,2.12,2.12,1.06,0,0,1.06,0,3.19,0,0,2.12,0,2.12,1.06,0,1.06,0,0,1.06,0,2.12,86.03,1.06
 96-106,0,4.37,1.09,1.09,4.37,2.19,1.09,0,0,1.09,0,5.46,0,2.19,4.37,0,1.09,1.09,0,1.09,0,0,0,0,3.28,173.76,1.09
108-118,0,0,0,0,2.3,4.6,0,0.77,0,0,0.77,2.3,0.77,0,3.83,0,3.06,1.53,0,0,0,0,0,0,0.77,176.94,0
120,0,1.96,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,9.8,1.96,3.92,1.96,0,0,0,0,0,0,0,66.63,0
