stage,blastomeres,epidermis,eye,glial,gut,ionocyte,lateral.line,mesenchyme,neural,olfactory,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,1.64,0.82
 36-46,0,0,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,2.94,0,0.98,0,0,0.98,10.8,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,7.43,0,1.06,0
 96-106,0,2.19,2.19,1.09,0,0,0,0,12.02,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,6.89,0,0.77,0
120,0,0,1.96,0,0,0,0,0,5.88,0,0,0
