stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,22.03,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,0,4,1,1,0,9,13,0,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,0,4.93,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0.82,0,3.28,0,0,4.1,168.28,0,3.28,1.64,0,3.28,0,0,0,1.64,47.61,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,19.34,0,0,0.81,4.83,0,0,0,0,0,0.81,0,0,0,8.06,0.81,0.81,0.81,476.96,0,4.03,0,0,4.83,0,0,0,0,122.46,0,0,8.86,0,0.81
 48-58,0,0,0,0,0,0,0,64.27,0,0.57,2.3,7.46,0,0.57,0,0,0,0,0,0,0.57,10.33,0.57,0,5.74,491.75,1.15,2.3,1.72,0,0,0,0,0,0,121.07,0,0,2.3,0,1.15
 60-70,0,0,0,0,0.98,0,0,174.71,0,0,0.98,15.7,0,0,0,0.98,0,0,0,0.98,0,11.78,0,0.98,0.98,585.97,0,0.98,1.96,0,2.94,0,0,0,0,108.95,0,0,5.89,0,0
 72-82,0,0,3.93,0,1.96,3.93,0,173.75,0.98,0.98,0.98,13.74,1.96,0.98,0.98,0,0,0.98,0.98,0,0,31.41,0,0,1.96,464.33,0,4.91,1.96,0,7.85,0,0,0.98,0,63.81,0,0.98,7.85,0,0.98
 84-94,0,0,4.25,0,8.5,3.19,0,91.34,1.06,0,4.25,14.87,2.12,0,0,1.06,1.06,1.06,1.06,1.06,1.06,10.62,0,1.06,2.12,211.35,0,0,3.19,0,18.05,0,0,1.06,0,27.61,0,0,2.12,1.06,1.06
 96-106,0,0,5.46,0,3.28,0,1.09,102.73,2.19,0,1.09,14.21,2.19,0,0,4.37,0,1.09,1.09,0,0,12.02,1.09,0,0,168.3,1.09,8.74,6.56,0,20.76,0,0,0,0,15.3,0,0,8.74,0,3.28
108-118,0,0,3.06,0,4.6,1.53,0,55.92,0.77,2.3,0.77,5.36,1.53,0,0,1.53,0,1.53,1.53,2.3,0,8.43,0,0.77,1.53,193.02,4.6,2.3,2.3,0,6.13,0,0,0,0,10.72,1.53,0.77,1.53,0,0.77
120,0,0,1.96,0,7.84,0,0,86.23,0,0,1.96,13.72,1.96,0,0,1.96,0,1.96,1.96,0,0,11.76,0,0,7.84,264.57,1.96,1.96,5.88,0,21.56,0,0,0,0,19.6,0,1.96,3.92,0,0
