stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,83,0,0,0,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,2.46,0.82,0.82,0,19.7,1.64,0,0.82,0,0,156.78,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0,0.81,0,0,2.42,4.03,0,0,16.11,1.61,0.81,0,0,0,165.16,0,0.81,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,5.74,0,0.57,0.57,0,3.44,0,0,0,0,0,0.57,2.3,8.61,0,0.57,11.48,0,0,0,0,0,131.4,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,10.8,0,0,5.89,0,2.94,0,1.96,1.96,0,0,0,0,0,0,0.98,6.87,0,0,15.7,0,0,0,0,0,127.6,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,23.56,0.98,0,8.83,0.98,0.98,3.93,9.82,2.94,0,1.96,0,0.98,0,0,2.94,22.58,0,0,17.67,0,0.98,0,0,0,225.78,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,57.35,0,0,4.25,0,9.56,1.06,41.42,2.12,0,5.31,0,1.06,0,0,2.12,13.81,1.06,1.06,12.74,0,0,0,0,0,618.11,0,0,2.12,0,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,108.19,0,1.09,10.93,0,14.21,6.56,53.55,1.09,1.09,4.37,1.09,2.19,1.09,0,1.09,26.23,1.09,0,19.67,0,2.19,0,0,1.09,708.16,0,0,1.09,0,0,2.19,0,1.09,0
108-118,0,0,0,1.53,115.66,0,2.3,5.36,0,23.74,3.83,101.87,0,0.77,15.32,1.53,0,2.3,0,6.13,22.98,0.77,0,22.98,0,0.77,0,0,0,651.07,0,0,0.77,0,0.77,1.53,0.77,0,0
120,0,0,0,0,82.31,0,0,0,0,17.64,1.96,37.24,0,1.96,5.88,0,0,3.92,0,1.96,23.52,0,3.92,15.68,0,0,0,0,0,395.88,0,0,0,0,1.96,0,0,0,0
