stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,1,123,0,0,0,0,4,0,1,5,2,0,0,2,0,0,3,2,3,0,0,0,0,0,0
 24-34,0,0,0,92.76,0,0,0.82,0,22.16,0,0,1.64,11.49,0,0,4.93,0,0,6.57,18.06,1.64,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,1.61,0,0,0,5.64,0,0.81,6.45,0,0.81,0,6.45,2.42,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,3.44,0,0,0.57,6.31,0,0.57,1.15,0,0,0.57,1.72,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,0,0,9.82,0,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,4.91,0,0,7.85,0,1.96,3.93,0,0,2.94,1.96,0,0,0,0,5.89,0,0
 84-94,0,1.06,0,1.06,0,0,0,1.06,0,8.5,0,0,18.05,0,1.06,0,0,0,1.06,7.43,1.06,0,0,0,7.43,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,15.3,0,0,29.51,0,0,0,0,0,2.19,10.93,0,0,1.09,0,12.02,0,0
108-118,0,0,0,0.77,0,0,0,0,0,24.51,0,0.77,25.28,0.77,3.83,0.77,0.77,0,1.53,6.89,0,1.53,0.77,0,6.89,0,0.77
120,0,0,0,1.96,0,0,0,0,0,13.72,0,0,5.88,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0
