stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0.81,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,115.33,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57,17.79,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,708.66,0,0,0,2.94,0,0.98,0,0.98,0,0,0,0,5.89,0,0.98,0,43.19,0,0,0,0.98,0,0,4.91,0,0,0,0,0.98
 72-82,0,0,0,15.71,9.82,0,1341.93,0.98,0.98,0.98,22.58,2.94,2.94,0.98,0,1.96,1.96,1.96,1.96,41.23,0,3.93,10.8,128.6,0.98,1.96,1.96,6.87,0,0,14.72,0.98,2.94,3.93,0.98,2.94
 84-94,0,0,2.12,23.36,4.25,0,1457.12,1.06,2.12,3.19,14.87,0,0,1.06,0,1.06,0,1.06,0,20.18,2.12,3.19,6.37,47.79,1.06,1.06,0,8.5,0,0,4.25,0,0,4.25,1.06,1.06
 96-106,0,0,2.19,15.3,12.02,0,1138.75,1.09,4.37,1.09,14.21,0,0,3.28,3.28,4.37,0,1.09,0,31.69,1.09,0,3.28,76.5,0,1.09,2.19,12.02,0,1.09,2.19,1.09,2.19,7.65,1.09,3.28
108-118,1.53,0,0,9.96,3.83,0,782.81,0.77,0.77,2.3,16.85,1.53,0,3.06,1.53,0,1.53,2.3,0.77,26.81,0.77,1.53,3.83,89.62,0.77,1.53,0.77,7.66,0.77,0,3.06,1.53,1.53,3.83,1.53,2.3
120,0,0,0,9.8,5.88,1.96,836.83,0,1.96,1.96,11.76,0,1.96,5.88,1.96,0,1.96,1.96,0,15.68,0,0,0,64.67,0,1.96,1.96,5.88,0,0,1.96,0,3.92,0,0,0
