stage,endoderm,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,neural,otic,spinal.cord,vasculature
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,1,1
 24-34,0,0,0,0,0,0.82,0,1.64,18.06,2.46,1.64
 36-46,0,0.81,0,0,0,0,0,1.61,0.81,0.81,0
 48-58,0,1.15,0,0,0,1.15,0,4.59,6.89,2.87,0.57
 60-70,0,1.96,0,0,0,5.89,1.96,0.98,13.74,0.98,0
 72-82,0,1.96,1.96,0,0,15.71,0.98,4.91,31.41,1.96,0
 84-94,0,3.19,0,0,0,22.3,0,4.25,58.41,0,0
 96-106,0,2.19,0,0,0,32.79,0,7.65,64.48,1.09,1.09
108-118,0,1.53,0,0,0.77,22.98,0.77,3.83,46.72,2.3,0
120,0,3.92,1.96,0,0,21.56,3.92,5.88,45.08,0,0
