stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0
 24-34,0,0,1.64,0,4.93,0,0.82,0,3.28,0,0,0,0,3.28,0,0,26.27,0,0.82,9.85,17.24,4.93,0,0,0,0,0,0,0,3.28,8.21,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0.81,0,0,0,2.42,0,0,53.98,0,0,19.34,20.95,0.81,0,0,0,0,0,0,0,4.03,2.42,0
 48-58,0,0,0,0,1.72,0,4.02,0,5.74,0.57,0.57,0.57,0,0.57,0,0,53.36,0.57,1.15,10.9,25.82,1.15,0,0,0.57,0,0,0,0,0.57,2.87,0
 60-70,0,0,0,0,1.96,0,5.89,0,4.91,1.96,0,0,0,0,0,0,42.21,0,2.94,6.87,44.17,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0,17.67,0,3.93,0.98,0,0.98,0,0,0,0,32.39,0,0.98,13.74,53.01,0.98,0,0.98,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,15.93,1.06,19.12,0,5.31,0,0,0,0,0,16.99,1.06,2.12,3.19,32.92,1.06,0,0,0,0,1.06,0,0,4.25,1.06,2.12
 96-106,0,0,0,0,2.19,0,8.74,0,15.3,1.09,3.28,0,0,0,0,1.09,10.93,0,0,4.37,38.25,1.09,0,1.09,2.19,0,0,0,0,1.09,2.19,1.09
108-118,0,0,0.77,0,2.3,0.77,8.43,0,14.55,0,2.3,0,0,0,2.3,0.77,13.79,0,0,5.36,44.43,0.77,0,0,0,0,0,0,0,1.53,5.36,2.3
120,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,3.92,0,7.84,0,0,1.96,27.44,1.96,0,0,1.96,0,0,0,0,1.96,0,0
