stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,18.4,0,0,0,26.29,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,184.01,7.89,0,0,84.12,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,176.23,15.73,0,0,34.62,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,26,4,0,6,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,9,113,2,1,1,4,0,0,1,11,0,6,62,0,0,5,0,0
 24-34,0,0,0,0.82,14.78,2.46,0,15.6,0.82,0,4.1,0.82,0,1.64,0.82,0,0.82,0,0,0.82,34.48,0.82,0,13.95,253.64,1.64,1.64,0.82,0,0,1.64,0,0,0,0.82,50.07,0,0,10.67,0,1.64
 36-46,0,0,0,0,4.83,0,0,26.59,0.81,0,3.22,1.61,0,0.81,0.81,0,1.61,0,0,0.81,26.59,0,0,8.86,331.94,2.42,3.22,0.81,0,0,0.81,0,0,0,0,75.73,0,0,6.45,0,3.22
 48-58,0.57,0,0,0,0.57,0,0,47.05,0,2.3,13.2,0,0,1.15,1.15,0,4.02,0.57,0.57,0.57,36.15,0,0,4.59,336.82,0,1.15,2.87,0,0,1.72,0,0.57,0,0,57.95,0,1.15,2.87,0,2.87
 60-70,0,0,0,0,4.91,0.98,0,92.26,1.96,0,5.89,0,0.98,0,3.93,0,8.83,0,0,1.96,59.87,0,2.94,7.85,438.74,0,0,1.96,0,2.94,1.96,0,0,0,0,66.74,0,0.98,4.91,0,3.93
 72-82,0,0,1.96,0,5.89,1.96,0,78.53,0.98,0.98,20.61,0,0,0.98,3.93,0,5.89,1.96,0,0,68.72,0.98,4.91,6.87,323.95,0,0.98,3.93,0,0.98,0,0,0,0,0,21.6,0.98,1.96,11.78,1.96,4.91
 84-94,0,0,3.19,0,8.5,0,1.06,57.35,2.12,0,10.62,4.25,0,1.06,9.56,0,21.24,2.12,1.06,1.06,25.49,0,3.19,7.43,149.75,0,1.06,0,0,1.06,3.19,0,0,2.12,0,16.99,0,1.06,7.43,3.19,4.25
 96-106,0,0,2.19,0,8.74,0,0,42.62,1.09,3.28,12.02,2.19,0,4.37,2.19,0,9.84,0,2.19,1.09,40.44,0,1.09,5.46,122.4,0,1.09,2.19,0,5.46,0,0,0,0,0,7.65,0,2.19,12.02,2.19,2.19
108-118,0,0,0.77,0,10.72,0,0,31.4,3.06,3.06,9.19,2.3,0,0.77,7.66,0.77,18.38,0.77,0.77,1.53,33.7,0,3.06,3.06,146.3,0,2.3,1.53,0,3.83,0.77,0,0,1.53,0,5.36,0.77,0.77,3.06,1.53,1.53
120,0,0,0,0,7.84,0,1.96,13.72,1.96,0,9.8,1.96,0,0,13.72,3.92,5.88,0,0,0,17.64,0,0,7.84,168.54,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,5.88,1.96,0
