stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,41,9,0,36,0,0,0,3,0,1,0,0,1,1,0,0,1,21,0,0,20,328,1,1,6,3,0,1,0,60,1,4,87,78,0,0,3,0,1
 24-34,0.82,3.28,24.63,0,0,63.21,0,0.82,3.28,5.75,3.28,0,1.64,0,1.64,0,0,0,0.82,53.36,0,0,26.27,321.78,0.82,4.93,4.93,0,0,2.46,0,0,0,1.64,25.45,73.88,0,0,4.1,0,0
 36-46,0.81,0,5.64,0,0,24.17,0,0.81,0.81,10.47,1.61,0.81,0.81,0,0,0,0,0.81,0,47.53,0,1.61,14.5,136.16,0,4.03,1.61,0,0,1.61,0,0.81,0,0,0,36.26,0,0,1.61,0,0.81
 48-58,0,0,2.3,0.57,0,47.63,0,1.15,3.44,18.36,0,0.57,0,1.15,0,0,0,0.57,1.15,44.76,0,1.15,6.31,55.09,0.57,0.57,0.57,0,0.57,1.15,0,0,0,0,0,16.07,0,0,0,1.15,0
 60-70,0,0,4.91,0,0,93.24,2.94,0,0.98,15.7,0,0,0,0.98,0,2.94,0.98,0.98,0.98,51.04,0,0.98,7.85,20.61,0,1.96,0.98,0,0,0.98,0,0,0,0,0,4.91,0,0,1.96,0,1.96
 72-82,1.96,0,4.91,3.93,0,76.57,0.98,0.98,6.87,53.01,1.96,0,1.96,1.96,1.96,2.94,2.94,1.96,0,100.13,0.98,0.98,9.82,44.17,0.98,3.93,0.98,0,0,0.98,0,0,0,0,0,20.61,1.96,2.94,6.87,3.93,1.96
 84-94,1.06,0,13.81,6.37,1.06,66.91,1.06,0,4.25,37.17,5.31,1.06,1.06,5.31,2.12,2.12,1.06,4.25,0,62.66,0,2.12,18.05,38.23,1.06,1.06,2.12,0,2.12,1.06,0,0,0,0,0,8.5,2.12,0,2.12,2.12,1.06
 96-106,2.19,0,13.11,6.56,0,48.09,0,2.19,2.19,44.81,2.19,0,4.37,4.37,0,2.19,8.74,2.19,0,84.15,1.09,2.19,9.84,33.88,1.09,3.28,4.37,0,0,4.37,1.09,0,0,1.09,0,8.74,2.19,2.19,2.19,3.28,2.19
108-118,0,0,13.02,13.02,0.77,42.13,0,0,10.72,35.23,3.83,0,1.53,9.96,2.3,7.66,0.77,0.77,2.3,91.15,0,0.77,22.21,60.51,0,5.36,6.13,0,0.77,2.3,0,0,0,0,0,3.06,2.3,0.77,3.06,1.53,5.36
120,0,0,11.76,7.84,0,31.36,1.96,1.96,7.84,27.44,5.88,0,1.96,1.96,0,7.84,1.96,0,0,62.71,0,1.96,25.48,50.95,1.96,0,5.88,0,1.96,5.88,0,0,1.96,0,0,3.92,1.96,1.96,11.76,0,1.96
