stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,839.76,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,26.29,0,0,60.46,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,523.11,10.51,0,0,212.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,31.47,0,0,72.38,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,516.1,40.91,0,0,229.73,0,0,3.15,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,30,3,11,0,1,0,8,4,0,1,0,0,0,0,0,1,17,0,0,16,203,9,2,2,6,0,0,35,2,2,30,74,0,0,3,0,0
 24-34,0,0,0,2.46,2.46,2.46,43.51,0,0.82,0,5.75,0.82,0,0,0.82,0.82,0,0.82,0.82,0,32.83,0,0,13.95,366.1,3.28,0.82,3.28,0,0,7.39,0,1.64,0,4.1,79.62,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0,82.18,0,0,1.61,6.45,0,0,2.42,0,0,0,0.81,1.61,0.81,27.39,0,0.81,8.86,327.91,0.81,2.42,1.61,0,0,7.25,0,0,0,0.81,77.34,0,0,3.22,0,1.61
 48-58,0,0,0,0,2.87,1.15,106.73,0,0,0.57,14.92,0,0,0,0.57,0.57,0.57,1.15,1.72,0.57,33.85,0,1.15,6.31,258.21,0.57,1.72,1.72,0,0,2.87,0,0,0,0,55.09,0,0,0.57,0,1.15
 60-70,0,0,0,0,6.87,0,106,0,1.96,0.98,16.69,0,0.98,0,0.98,1.96,0.98,0.98,0,0,36.32,0,1.96,3.93,205.14,0,1.96,0.98,0,0,2.94,0,0.98,0,0,26.5,0,1.96,2.94,0,0
 72-82,0,0,0.98,0,5.89,1.96,92.28,0,0.98,0.98,29.45,0.98,0,0.98,1.96,0,0,0,1.96,0,42.21,0,0,4.91,186.52,0,0,0.98,0,0,1.96,0,0,0,0,8.83,0,0.98,4.91,0,0
 84-94,0,0,1.06,0,9.56,1.06,58.41,0,1.06,2.12,12.74,1.06,0,0,1.06,0,0,1.06,0,0,35.05,0,2.12,4.25,91.34,0,0,3.19,0,0,5.31,0,0,0,0,12.74,3.19,1.06,3.19,0,0
 96-106,0,0,0,0,5.46,0,52.46,1.09,1.09,1.09,18.58,0,0,0,2.19,4.37,0,1.09,1.09,0,34.97,2.19,0,3.28,115.84,1.09,2.19,0,0,2.19,5.46,0,0,0,0,4.37,1.09,0,2.19,0,0
108-118,0,0,0,0,6.89,1.53,33.7,0,0,1.53,18.38,0.77,0,0,3.06,0.77,1.53,0,1.53,0,24.51,0,0.77,4.6,98.81,2.3,2.3,4.6,0,0,4.6,0,0.77,0,0,3.83,0,0,4.6,0.77,0
120,0,0,0,0,13.72,7.84,39.2,1.96,0,0,9.8,0,0,3.92,0,0,1.96,0,1.96,0,13.72,0,0,7.84,103.87,1.96,0,1.96,0,0,3.92,0,0,0,0,3.92,0,1.96,0,0,0
