stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,5.26,0,0,7.89,0,0,0,2.63,0,0,0,0,47.32,15.77,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,6.29,15.73,0,0,0,0,0,0,0,0,163.64,12.59,0,84.97,0,0,0,31.47,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,0,0,0,4,0,0,12,1,0,1,0,0,3,1,1,0,6,0,0,0
 24-34,0,0,0,1.64,0.82,2.46,0,0,0.82,0,0,9.03,0,4.1,14.78,0,0,0,0,0,0,0,0,4.1,2.46,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0.81,11.28,0,3.22,8.86,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,2.87,0,1.72,0.57,0,0,13.2,0,1.15,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,1.96,2.94,0,0.98,26.5,0.98,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,4.91,0,4.91,3.93,0,0,25.52,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,2.12,2.12,0,0,14.87,0,2.12,2.12,0,0,0,0,0,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,0,0,0,2.19,1.09,0,0,15.3,0,1.09,4.37,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,2.3,1.53,0,0,10.72,0.77,0.77,2.3,0,0.77,0,0,0,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,15.68,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
