stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,1170.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,118.29,7.89,0,21.03,0,0,0,13.14,0,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,0,346.99,107.78,0,0,254.99,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,50.35,0,0,0,0,0,3.15,0,0,0,0,75.53,28.32,0,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,6,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.55,0,0.82,0,1.64,2.46,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66,0.57,0.57,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0,43.19,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0,136.45,0,1.96,0,0,14.72,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,4.25,2.12,0,8.5,0,0,0,2.12,2.12,0,1.06,0,0,0,0,472.61,0,1.06,0,1.06,27.61,0,0,0,0,7.43,0,0,0,0,1.06,0,1.06,0,0,2.12
 96-106,0,0,1.09,0,9.84,5.46,0,21.86,1.09,1.09,2.19,4.37,1.09,0,0,3.28,1.09,0,1.09,744.23,0,12.02,1.09,1.09,113.66,0,0,2.19,0,4.37,0,0,0,0,3.28,0,0,2.19,1.09,2.19
108-118,0,0,0,0,6.13,0.77,0.77,22.21,0,1.53,0.77,6.13,1.53,0,0,0,0,0.77,2.3,1422.39,0,20.68,1.53,1.53,102.64,1.53,1.53,1.53,0,7.66,0,0,0.77,0,0.77,1.53,0,0,0,0
120,0,0,0,0,1.96,0,1.96,11.76,0,0,0,1.96,1.96,0,0,5.88,0,0,0,738.84,0,3.92,0,1.96,47.03,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,1.96,1.96
