stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,30.65,772.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,15.77,7.89,18.4,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,254.99,2.63,0,0,68.35,0,0,2.63,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,37.76,0,0,0,0,9.44,0,0,0
 14-21,0,0,7,42,5,0,5,0,2,2,0,0,0,0,0,0,10,0,0,7,23,0,0,4,2,0,2,0,15,2,7,18,0
 24-34,0,0,0,4.93,0,0,0,0,0,0.82,0,0,0,0,0,0.82,3.28,0,0,0.82,3.28,0,3.28,0,0,0,2.46,0,0,0,0,2.46,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,2.3,0,0.57,0,0,0.57,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,1.96,0,0,0.98,0.98,0,0,3.93,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,1.06,0,0,1.06,0,0,5.31,0,0,0,0,0,2.12
 96-106,0,0,0,2.19,0,0,2.19,0,1.09,0,0,0,0,0,1.09,1.09,2.19,0,1.09,0,2.19,0,1.09,3.28,0,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,0,0,1.53,0,0,0,0,0,0.77,0.77,0,2.3,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
