stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,4.1,9.03,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,5.64,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0.57,0,0,1.15,0,0.57,0,0,9.75,14.35,0,0,0.57,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,10.8,23.56,0,0,0,0.98,0
 72-82,0,0.98,0,0.98,0.98,0,0,0,1.96,0,0.98,8.83,0,0,0,0,16.69,50.06,0,0,1.96,2.94,0.98
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,1.06,7.43,0,0,0,0,5.31,76.47,0,1.06,0,2.12,0
 96-106,0,0,0,0,2.19,0,0,0,1.09,0,0,20.76,1.09,1.09,1.09,0,8.74,86.33,0,1.09,0,3.28,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0.77,1.53,1.53,5.36,0,0.77,0,0.77,8.43,63.57,0,0.77,0,4.6,0
120,0,0,0,1.96,0,0,0,0,0,0,3.92,7.84,0,1.96,0,0,21.56,88.19,0,1.96,0,0,0
