stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,1.64,0,0.82,0,0,0,4.1,0,0,10.67,0,0.82,1.64,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,27.39,0,0,0.81,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,1.15,0,1.15,0,0.57,0,0,0,0,0,1.72,0,1.15,22.38,0,0.57,0,0,0,0,8.03,0,0
 60-70,0,0,0.98,0,0,2.94,0,0.98,0,0,0,0,0,0.98,0.98,2.94,0,1.96,50.06,0,1.96,2.94,0,0,0,1.96,0.98,0.98
 72-82,0,0,2.94,0.98,0.98,14.72,0,4.91,3.93,0,0,0,0,0,0.98,9.82,0,2.94,60.86,0,0.98,2.94,0,0.98,0,7.85,0.98,0
 84-94,0,0,0,3.19,1.06,6.37,0,1.06,1.06,1.06,0,0,0,2.12,2.12,5.31,1.06,0,33.99,0,1.06,6.37,0,0,0,6.37,0,0
 96-106,0,0,1.09,4.37,0,8.74,1.09,2.19,0,1.09,4.37,0,0,3.28,1.09,3.28,0,0,38.25,0,3.28,6.56,0,0,0,2.19,1.09,2.19
108-118,0,0,0,2.3,0.77,9.19,0,3.06,1.53,0,2.3,0,0.77,4.6,1.53,0.77,0,0.77,44.43,0,0.77,1.53,0,0.77,0,1.53,2.3,0.77
120,0,0,0,3.92,0,11.76,0,3.92,0,0,1.96,1.96,0,1.96,0,0,0,0,62.71,0,5.88,1.96,0,0,0,0,1.96,1.96
