stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,3,1,3,0,0,0,0,1,0,0,1,0,0,0,4,0,0,3,22,0,0,0,1,3,0,4,1,2,11,13,0,0,0,0,0
 24-34,0,0,0,0,3.28,0.82,4.1,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,21.34,0,0,0,0,4.1,0,0,0,0.82,1.64,4.1,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,8.06,0,0.81,0,1.61,0,0,0.81,0,0,0,0.81,6.45,0,0.81,5.64,24.17,0,0.81,1.61,0,5.64,0,0,0,0,0,3.22,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,4.59,0.57,0,0.57,1.72,0,0.57,0,0,0,0,0,5.16,0.57,0,0,8.61,0,0.57,0,0,1.72,0,0,0,0,0,1.15,0,1.15,1.15,0,0
 60-70,0,0,0,0,2.94,0,3.93,0,0,0,0.98,0.98,0,0,0,0,0,0,4.91,0,0,1.96,3.93,0,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0.98,0,1.96
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,1.96,0,0,0.98,0,0,0,0,8.83,0,1.96,0.98,11.78,0,0,2.94,0,2.94,0,0,0,0,0,1.96,1.96,0,4.91,0,0
 84-94,0,0,1.06,0,4.25,0,3.19,0,1.06,2.12,2.12,3.19,0,7.43,2.12,2.12,0,0,9.56,0,1.06,3.19,2.12,0,0,2.12,0,24.43,0,0,2.12,1.06,0,1.06,2.12,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,4.37,0,2.19,1.09,1.09,0,3.28,3.28,0,5.46,2.19,0,0,1.09,12.02,2.19,0,2.19,6.56,0,2.19,0,0,18.58,0,0,0,0,0,0,1.09,0,4.37,0,0
108-118,0,0,0,0,7.66,0,3.06,0.77,1.53,0,3.83,3.06,0,11.49,0.77,0.77,0,0.77,5.36,0.77,0.77,4.6,9.96,0.77,0,2.3,0,16.85,0,0,0,0,0,0,1.53,0,4.6,0,0.77
120,0,0,0,0,1.96,0,5.88,0,0,0,1.96,1.96,0,17.64,1.96,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,5.88,0,0
