stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,hatching_gland,ionocyte,liver,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,6.29,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,3,0,0,0,9,1,13,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,3.83,0,0,0,0,0,0,0
120,0,0,3.92,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
