stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,4,0,0,1,1,0,4,0,3,10,0,0,0,1,0,1,0,1,3,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,3.28,0,0.82,18.06,0.82,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,1.61,0,2.42,0.81,0,0,1.61,0,1.61,4.03,0,0,1.61,0,0.81,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,6.31,0,0.57,5.74,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,6.87,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,1.96,0,2.94,0,1.96,1.96,0,0,17.67,0,0.98,7.85,0,0,0,0,0,0,0,0,2.94,1.96,0
 84-94,0,0,0,0,0,4.25,0,1.06,1.06,0,0,9.56,0,3.19,2.12,0,1.06,0,0,3.19,0,0,0,2.12,0,0
 96-106,0,0,0,2.19,1.09,4.37,1.09,1.09,4.37,0,0,12.02,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0.77,0,0.77,0,2.3,0,1.53,0.77,0,1.53,1.53,0,0.77,5.36,0,0.77,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,3.92,0,5.88,0,0,1.96,0,0,5.88,0,0,7.84,1.96,0,1.96,0,1.96,0,0,0,0,0,0
