stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,6,0,3,0,0,1,0,1,0,5,0,0,0,10,0,1,0,0,3,27,1,0,1,1,1,2,0,0,4,4,0,0,0,0,0
 24-34,0,0,1.64,0.82,1.64,0,0,6.57,0,0,3.28,0.82,1.64,0,18.88,0,0,0,9.85,0,9.03,0,0,4.1,51.71,0,0.82,0,0,0.82,0,30.37,0,0,11.49,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,8.86,0,0,6.45,0.81,0,0,24.98,0,0.81,0,1.61,6.45,16.92,0.81,0,2.42,44.31,0.81,0,0,0,0.81,0,24.17,0,0,5.64,0,0,0,0,0.81
 48-58,0,0,0.57,0,1.72,0,0,8.03,0,0.57,4.59,1.72,0,0,33.85,0,1.72,0,1.15,5.16,18.36,0,0.57,4.59,35,1.15,0,1.72,0,1.72,0,23.53,0.57,0,5.74,0,0,1.15,0,2.3
 60-70,0,0,4.91,0,0.98,0,0,15.7,0.98,0,4.91,0.98,0,0,36.32,0,5.89,0,0.98,0,20.61,0,0,0.98,27.48,0,0,5.89,0,3.93,0,30.43,0,0,2.94,0,0,4.91,0.98,0
 72-82,0,0,0.98,0,0.98,1.96,0,22.58,0.98,0,16.69,14.72,0.98,0,68.72,1.96,3.93,0,4.91,2.94,40.25,0,0.98,0.98,34.36,0.98,0,2.94,0,2.94,0,57.92,0,0,0.98,0,0,11.78,0.98,0.98
 84-94,0,0,1.06,0,3.19,1.06,0,21.24,0,1.06,12.74,29.74,0,0,90.27,0,24.43,0,3.19,2.12,32.92,0,2.12,4.25,29.74,0,0,3.19,0,3.19,0,120.01,0,0,3.19,1.06,0,5.31,0,0
 96-106,0,0,4.37,1.09,5.46,1.09,0,19.67,1.09,0,20.76,24.04,0,0,109.28,1.09,13.11,1.09,8.74,1.09,26.23,0,0,1.09,16.39,0,2.19,6.56,0,4.37,0,104.91,0,0,3.28,2.19,0,4.37,1.09,0
108-118,0,0,2.3,0,3.06,2.3,0.77,35.23,0,0.77,36,18.38,0,0,83.49,1.53,16.85,0,18.38,2.3,37.53,0,0,0.77,29.87,1.53,1.53,2.3,0,1.53,0,84.26,0,0,2.3,1.53,0,6.13,0.77,0.77
120,0,0,7.84,0,5.88,0,0,35.28,0,0,27.44,13.72,0,3.92,101.91,3.92,9.8,3.92,0,0,45.08,0,3.92,0,31.36,0,1.96,1.96,0,5.88,0,52.91,0,0,0,0,1.96,3.92,0,0
