stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0.77,0,1.53,1.53,0,0
120,0,0,0,0,1.96,1.96,0,0,1.96,0,3.92,1.96,0,3.92,0,0,1.96
