stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30,0,25,1,0,1,0,0,0,12,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,3.28,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,7.39,0,3.28,241.33,0,128.05,0,0,8.21,0,0.82,0.82,32.01,0,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,11.28,0,0,0,4.03,0,0.81,1.61,0,0,0,0,0,0,22.56,0,7.25,630.84,0.81,130.52,0,0,3.22,0,0.81,0,76.54,0,0,0.81,0,0
 48-58,0,0,0,4.02,1.15,0,111.32,1.15,2.87,1.72,7.46,0,0,1.15,1.15,0.57,1.15,0.57,0,0,93.53,0,23.53,1075.31,0,95.83,1.15,0,4.59,0,0.57,0,170.42,0,0,0,0,1.72
 60-70,0,0,0,4.91,0,0,152.14,0,1.96,2.94,12.76,0.98,0.98,3.93,0,0,0,0.98,0.98,1.96,237.53,0.98,27.48,1341.74,0.98,79.5,0.98,0.98,4.91,0.98,0.98,0,159.99,0,0,3.93,0,3.93
 72-82,0,0.98,0,11.78,4.91,0,189.46,0,0.98,5.89,19.63,0.98,0,4.91,0.98,0,0.98,0,0,0.98,400.52,1.96,40.25,1113.2,0.98,151.18,4.91,2.94,2.94,0,0,0,100.13,0.98,1.96,2.94,1.96,4.91
 84-94,0,0,0,26.55,3.19,0,178.42,0,2.12,1.06,30.8,1.06,0,5.31,3.19,0,2.12,0,2.12,0,197.54,7.43,32.92,573.5,0,163.55,2.12,0,4.25,1.06,0,0,59.47,1.06,3.19,2.12,0,0
 96-106,0,2.19,0,27.32,3.28,1.09,114.75,0,2.19,1.09,22.95,2.19,0,10.93,1.09,0,1.09,2.19,4.37,0,224.03,2.19,14.21,431.67,1.09,232.78,4.37,6.56,6.56,0,1.09,0,25.14,1.09,1.09,4.37,2.19,1.09
108-118,0,0,0,13.02,3.06,0.77,91.92,0,0.77,4.6,10.72,1.53,0,4.6,3.06,0,0,0,2.3,0,174.64,3.06,18.38,496.34,0,164.68,2.3,6.13,0,0.77,0,0,19.92,1.53,1.53,0.77,0.77,2.3
120,0,0,0,11.76,1.96,0,111.71,0,1.96,1.96,17.64,1.96,0,1.96,0,1.96,0,0,0,0,168.54,3.92,11.76,505.62,0,129.35,1.96,7.84,0,3.92,0,0,11.76,0,3.92,1.96,0,1.96
