stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,815.24,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,24.52,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,0,44.69,0,0,0,81.49,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,686.09,52.57,0,0,391.68,0,2.63,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,31.47,0,0,0,75.53,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,418.55,22.03,0,0,91.26,0,0,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,51,17,0,11,0,0,0,6,2,0,5,0,1,0,0,1,0,17,0,25,230,13,0,1,12,0,5,0,27,10,2,173,122,0,0,12,0,0
 24-34,0,0,0,0,11.49,0.82,0,9.03,0,1.64,3.28,4.93,1.64,1.64,5.75,0,0.82,0,3.28,2.46,0,38.58,0,15.6,105.89,4.1,3.28,7.39,0,0.82,4.93,0,0,3.28,0,42.68,44.33,0,0,28.73,0,0.82
 36-46,0,0,0,0,8.86,1.61,0,1.61,0,0,0.81,8.06,2.42,0,5.64,0,0.81,0.81,2.42,0.81,0,45.12,0,12.89,78.96,1.61,4.03,4.03,0,0,2.42,0,0,0,0,0,46.73,0,0,14.5,0,0
 48-58,0,0,0,0.57,2.87,0,0,10.9,0,0,2.3,12.62,0.57,0,3.44,0.57,0.57,0,6.89,0,0,44.18,0,8.03,45.9,1.15,1.72,5.16,0,0.57,0.57,0,0,0.57,0,0,24.67,0,0,11.48,0,0
 60-70,0.98,0,0.98,0,6.87,0,0,15.7,0.98,0.98,4.91,14.72,0.98,0.98,3.93,0,2.94,0.98,3.93,0.98,0,69.69,0.98,4.91,93.24,0,3.93,2.94,0,0.98,3.93,0,0,0.98,0,0,26.5,0,0.98,11.78,0.98,0
 72-82,0,0,0,0,13.74,3.93,0,31.41,0.98,2.94,2.94,31.41,3.93,0,4.91,1.96,3.93,0.98,1.96,0,0,66.75,4.91,4.91,81.48,0.98,3.93,3.93,0,0.98,4.91,0,0,0.98,0.98,0,9.82,0,0.98,22.58,5.89,0
 84-94,0,0,0,0,4.25,2.12,0,11.68,0,1.06,1.06,9.56,5.31,0,3.19,4.25,1.06,3.19,4.25,1.06,1.06,56.29,3.19,7.43,38.23,1.06,3.19,3.19,0,2.12,19.12,0,0,0,0,0,5.31,0,1.06,13.81,0,1.06
 96-106,0,0,0,0,10.93,4.37,1.09,19.67,0,1.09,4.37,9.84,3.28,0,6.56,3.28,3.28,0,5.46,0,0,30.6,2.19,2.19,37.16,0,5.46,12.02,0,0,12.02,0,0,1.09,0,0,2.19,0,3.28,20.76,2.19,4.37
108-118,0,0,0,0,6.89,2.3,0,19.15,0.77,1.53,2.3,16.09,3.83,0,1.53,6.13,3.06,2.3,0.77,1.53,0.77,32.17,2.3,7.66,44.43,0,0.77,6.89,0,0,7.66,0,0,0,0,0,3.06,2.3,0.77,12.26,0,3.83
120,0,0,0,0,9.8,0,0,11.76,0,1.96,0,13.72,5.88,0,1.96,5.88,3.92,3.92,1.96,0,0,13.72,0,9.8,58.79,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,1.96,9.8,0,1.96
