stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11,3,0,2,0,0,0,0,2,0,0,0,0,8,0,3,0,0,2,32,1,0,0,0,0,0,3,1,0,8,8,0,2,0,0
 24-34,1.64,2.46,0.82,0,2.46,0,0,0,0,0,0,0,0.82,0,4.1,0,2.46,0,0,0.82,29.55,0,0,0,0,0,0,0,0.82,0.82,1.64,9.85,0,1.64,0,0.82
 36-46,0,0,0,0,4.83,0.81,0,4.83,0,0,0,0,0.81,0,0,0.81,6.45,0,0,3.22,45.12,0,0,0.81,0,0,0.81,0,0,0,0,18.53,0,1.61,0,1.61
 48-58,0,0,0,0,4.02,0,2.87,9.75,0,0,0.57,0,0,0,0,0,2.87,0,0,1.15,17.79,0,0,0,0,0,0,0,0,0,0,4.02,0,1.72,0,0.57
 60-70,0.98,0,0,0,12.76,0,0.98,13.74,0.98,0,0,0,0,0,2.94,0,3.93,0,0.98,0.98,26.5,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0.98
 72-82,0,2.94,0,0,25.52,0,0,16.69,0.98,0,0,0.98,2.94,0,0.98,0,6.87,0,0,0.98,36.32,0,0,0,0,0,0,0,0,0,0,5.89,0.98,0.98,0,0.98
 84-94,1.06,2.12,0,0,21.24,0,0,8.5,4.25,0,1.06,0,3.19,0,4.25,0,6.37,1.06,0,1.06,19.12,0,1.06,0,0,0,0,0,1.06,0,0,5.31,0,1.06,0,0
 96-106,1.09,1.09,0,0,17.49,0,0,10.93,2.19,0,0,0,10.93,1.09,8.74,1.09,8.74,1.09,0,0,21.86,0,0,0,0,1.09,1.09,0,0,0,0,2.19,0,0,2.19,0
108-118,1.53,1.53,0,0.77,6.13,0,0.77,9.19,2.3,0,0,0,1.53,0,6.13,0,6.13,0,0,0.77,27.57,0,0.77,0.77,0,0,3.06,0,0,0,0,0.77,0,0,0,0.77
120,5.88,0,0,0,5.88,0,0,9.8,5.88,0,0,0,0,0,13.72,0,5.88,1.96,3.92,0,13.72,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
