stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,11,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,219,0,1,1,0,1,0,0,1,158,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,4.1,0.82,0,0.82,253.64,0,0,7.39,1.64,0,0,0,1.64,121.49,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,29,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,8.06,0,0,2.42,862.07,0,0.81,5.64,1.61,0,0,0.81,0,184.5,0,0,0,0,0
 48-58,0,0,0,9.18,0,0,225.51,1.15,0.57,1.15,22.95,0.57,0.57,0,0.57,0,0.57,1.72,0.57,0,22.95,0,0,4.59,1375.98,0,2.87,9.75,3.44,0,0,1.72,0,285.75,0,0,1.72,0,1.15
 60-70,0,0,0,5.89,0,0,381.81,0,0,0.98,18.65,0,0,0,1.96,0.98,0.98,9.82,1.96,0,21.59,0,0,4.91,1312.29,0.98,0,26.5,1.96,0,0,0,0,184.53,0,0,0.98,0,0.98
 72-82,0,0.98,0,12.76,1.96,0,404.44,0,1.96,0.98,28.47,0,0,0,3.93,0,0.98,21.6,1.96,0,39.27,0.98,0.98,2.94,994.42,0.98,0.98,53.01,1.96,0,1.96,0,0,87.37,0.98,1.96,5.89,1.96,5.89
 84-94,0,0,0,15.93,1.06,0,350.47,1.06,1.06,2.12,23.36,3.19,0,1.06,0,1.06,2.12,24.43,0,0,25.49,0,2.12,2.12,607.49,0,2.12,67.97,11.68,0,0,1.06,0,66.91,0,1.06,5.31,1.06,0
 96-106,0,0,0,29.51,6.56,0,225.13,0,1.09,0,38.25,4.37,0,3.28,7.65,0,1.09,48.09,2.19,0,19.67,1.09,0,3.28,512.55,1.09,0,90.71,7.65,0,0,2.19,0,9.84,0,0,3.28,1.09,2.19
108-118,0,0,0,8.43,3.06,0.77,187.66,0,3.06,0,36,1.53,0,0.77,1.53,0,0,32.17,0.77,0,29.11,0,0,1.53,650.3,1.53,0.77,62.81,3.83,0,0.77,0,0,8.43,1.53,0,1.53,0,1.53
120,1.96,0,0,11.76,5.88,0,266.53,0,1.96,1.96,43.12,1.96,0,0,0,1.96,1.96,23.52,3.92,0,17.64,0,0,1.96,678.09,1.96,1.96,60.75,0,0,0,0,0,23.52,0,0,3.92,0,0
