stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,1,0,0,1,12,0,0,3,0,0,0,0,1,1,0,2,15,0,0,0,1,0,29,0,5,1,264,209,6,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,9.03,174.84,1.64,0,1.64,0,3.28,0.82,1.64,9.03,0,0.82,4.93,0.82,4.1,1.64,0,21.34,87.83,0,2.46,2.46,0,0,149.4,0,0,0.82,159.25,151.86,20.52,0,0,1.64,0,0
 36-46,0,0,0,3.22,1.61,0,11.28,208.67,1.61,0,0.81,0,0,0,1.61,0,0,1.61,0.81,2.42,6.45,4.83,0,12.09,100.71,0,1.61,1.61,0,0,145.02,0,0,0.81,95.07,8.86,29.81,0,0,0.81,0,1.61
 48-58,0,0,0,4.59,4.59,0,29.26,236.98,1.72,1.15,6.89,0,0.57,0,2.3,0.57,0,0,0,1.72,10.33,2.87,0.57,9.75,124.52,0,0.57,0,0,0,123.37,0,0,0,107.88,0,21.23,0,0,0.57,0,1.15
 60-70,0,0,0,1.96,6.87,0,28.46,116.8,5.89,0,5.89,0.98,0.98,0,1.96,2.94,0.98,0.98,1.96,0,13.74,0.98,0,14.72,116.8,0,0,6.87,0,0,109.93,0,0,0,58.89,0,23.56,0.98,0,0.98,0,0.98
 72-82,0,0,0,8.83,33.38,0,48.1,92.28,0.98,0.98,25.52,0.98,0,0,0.98,6.87,0.98,0.98,2.94,0,35.34,4.91,0,14.72,210.08,0,1.96,1.96,0,0.98,89.33,0,0,0.98,37.3,0,13.74,2.94,1.96,0.98,0.98,1.96
 84-94,0,0,0,21.24,30.8,1.06,83.9,108.33,9.56,3.19,16.99,6.37,1.06,0,6.37,6.37,4.25,4.25,3.19,1.06,25.49,6.37,0,10.62,120.01,1.06,2.12,7.43,0,0,348.35,0,0,3.19,78.59,0,9.56,7.43,1.06,0,1.06,3.19
 96-106,0,0,0,33.88,36.06,1.09,88.52,149.72,8.74,2.19,25.14,13.11,0,1.09,4.37,13.11,0,6.56,14.21,0,39.34,5.46,3.28,15.3,140.98,0,3.28,9.84,0,0,222.94,0,0,0,81.96,0,13.11,3.28,2.19,5.46,2.19,4.37
108-118,0,0,0.77,30.64,19.92,2.3,85.02,100.34,10.72,1.53,24.51,7.66,0,0.77,3.83,7.66,3.06,2.3,13.79,0.77,22.98,6.13,1.53,33.7,152.43,0,3.83,6.89,0,0.77,191.49,0,0,0,59.75,0,3.83,6.13,0.77,3.06,0,2.3
120,0,0,0,21.56,27.44,0,45.08,60.75,21.56,1.96,11.76,9.8,0,0,13.72,5.88,0,9.8,9.8,0,9.8,3.92,0,19.6,137.18,0,0,1.96,0,0,133.27,0,0,0,19.6,0,1.96,1.96,0,1.96,0,0
