stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,24,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,17,2,0,0,0,0,0,6,7,3,9,0,0,0,0,0
 24-34,0,2.46,100.97,0.82,0,4.93,0,81.26,1.64,0.82,0,0,0,0,0,0,0,4.1,9.85,4.93,0,0,3.28,86.19,0.82,0,0.82,0,2.46,0,0,18.88,1.64,36.12,0,0,0.82,0,4.93
 36-46,0,4.83,55.59,0.81,0,5.64,0,91.04,1.61,0.81,0,0,0,0,0,0.81,0,2.42,31.42,5.64,0.81,0,2.42,202.22,2.42,3.22,0,0,0,0,0,4.03,0,48.34,0,0,0.81,0,2.42
 48-58,0,1.15,60.82,0,0,16.07,0,119.35,0.57,4.59,0,0,0,0,0,1.15,0,4.59,36.72,9.75,0.57,0,1.72,197.96,1.15,2.3,0,0,0.57,0,0,0.57,0,43.61,0,0,1.15,0,1.15
 60-70,0,1.96,71.65,0,0,23.56,0,107.97,1.96,3.93,0,0,0,0,0.98,2.94,0,1.96,17.67,19.63,0,0,2.94,348.44,0,1.96,0,0,0.98,0,0,0.98,0,23.56,0,0,0,0,0
 72-82,0,4.91,108.96,0,0,51.05,0,115.84,0.98,12.76,0,0,0,0,3.93,3.93,0,8.83,19.63,54.97,2.94,0,3.93,549.73,0,2.94,1.96,0,0.98,0,0,1.96,0,26.5,0.98,0,0.98,1.96,1.96
 84-94,0,5.31,176.3,1.06,0,39.3,1.06,181.61,0,10.62,3.19,0,0,0,3.19,2.12,0,20.18,32.92,37.17,4.25,1.06,4.25,248.52,1.06,3.19,0,0,2.12,0,0,1.06,0,10.62,0,0,1.06,2.12,0
 96-106,0,7.65,195.62,3.28,1.09,39.34,0,199.99,0,15.3,0,0,0,1.09,6.56,1.09,1.09,36.06,19.67,51.36,5.46,2.19,0,307.09,0,3.28,3.28,0,6.56,1.09,0,2.19,0,14.21,2.19,1.09,4.37,1.09,1.09
108-118,0,6.13,186.13,1.53,0.77,29.11,0,216,1.53,9.19,0,0,0.77,0,12.26,3.06,0.77,170.04,19.15,35.23,3.06,0,2.3,344.68,0,6.13,0.77,0,3.06,0,0,1.53,0,6.89,0,0,0,1.53,0
120,0,7.84,182.26,1.96,0,31.36,0,139.14,9.8,11.76,1.96,0,0,0,7.84,1.96,0,94.07,5.88,23.52,5.88,0,0,372.36,0,1.96,3.92,0,5.88,0,0,3.92,0,9.8,0,1.96,0,0,0
