stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,117,6,238,0,7,0,1,1,3,0,0,0,0,11,1,47,0,0,115,193,46,0,7,0,0,2,2,19,0,135,95,58,0,0,0,0,0
 24-34,0.82,0,0,57.46,2.46,954.66,4.1,37.76,18.06,50.07,0.82,8.21,0,0,1.64,0,16.42,0,180.59,1.64,0.82,307,744.52,13.95,1.64,9.03,0.82,0.82,4.93,0.82,4.93,1.64,50.07,108.35,165.81,0,0,6.57,0,1.64
 36-46,0,0,0,6.45,0,1135.19,6.45,16.11,37.06,30.62,0,4.03,0.81,0,0.81,1.61,5.64,0.81,169.19,0,0.81,132.94,418.95,3.22,0.81,12.09,0,0,3.22,0,2.42,0,11.28,4.83,161.94,0,2.42,16.92,0,0.81
 48-58,0,0,0,2.87,0,874.48,2.87,14.92,18.94,72.87,0.57,4.59,0.57,0,0.57,0,9.18,0,179.03,0,6.89,43.04,144.6,1.15,0,13.2,0,0,1.15,0,0,0.57,3.44,0,76.32,0,2.3,12.62,1.15,0.57
 60-70,0.98,0,0,3.93,0,641.92,1.96,12.76,15.7,161.95,0,3.93,0,0.98,0,0.98,13.74,0,194.34,0,8.83,28.46,90.3,0.98,0.98,8.83,0,0,0.98,0,0,0,0.98,0,21.59,0,2.94,21.59,1.96,0.98
 72-82,0,0,0.98,11.78,3.93,379.9,3.93,13.74,27.49,425.06,0,3.93,2.94,7.85,0,3.93,46.14,0.98,468.25,0,16.69,46.14,81.48,0.98,2.94,21.6,0,1.96,2.94,0,0,0,0,0,16.69,1.96,18.65,94.24,10.8,0
 84-94,0,0,0,15.93,2.12,259.14,3.19,12.74,24.43,272.94,5.31,4.25,0,20.18,3.19,0,87.09,0,285.69,0,13.81,29.74,63.72,0,2.12,20.18,0,2.12,5.31,0,0,2.12,1.06,0,12.74,0,19.12,89.21,11.68,0
 96-106,0,0,0,31.69,4.37,274.3,2.19,14.21,21.86,358.45,2.19,9.84,3.28,15.3,0,1.09,209.83,0,296.16,2.19,19.67,22.95,91.8,0,1.09,33.88,0,1.09,4.37,0,0,2.19,1.09,0,25.14,0,32.79,122.4,8.74,0
108-118,0.77,0,0,13.02,0.77,251.24,0.77,16.09,22.98,385.28,0,4.6,0.77,18.38,0.77,0.77,288,0.77,239.75,0.77,9.19,24.51,85.02,1.53,1.53,26.81,0,6.89,0.77,0,0,0.77,0,0,17.62,0,23.74,90.38,6.89,0
120,0,0,0,29.4,1.96,254.77,0,13.72,19.6,419.39,1.96,5.88,5.88,1.96,0,7.84,182.26,0,213.62,3.92,5.88,21.56,131.31,0,0,31.36,0,1.96,1.96,0,0,0,1.96,0,15.68,0,15.68,80.35,1.96,0
