stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,3,13,0,0,0,0,0,0,3,1,0,13,5,0,0,0,0
 24-34,0,0,0,0.82,0,15.6,0,0,0.82,0,0,0,0,0,0,0,5.75,0,4.1,45.15,0,0,0,0,0,0.82,0,3.28,0,1.64,4.1,0,0,0,0
 36-46,0,0,0.81,0,0,9.67,0,0,0,2.42,0.81,0,0,0,0,0,3.22,0.81,0.81,23.36,0.81,0,0,0,0,0.81,0,2.42,0,0,5.64,0.81,0,0,0
 48-58,0,0,0,0,0,19.51,0,0,0,1.72,0,0,0,0,0,0,2.87,0,1.15,21.23,0,0,0,0,0,0,0,2.3,0,0,1.15,0,0,0.57,0
 60-70,0,0,1.96,0,0,21.59,0,0.98,0,3.93,0,0,0,0.98,0,0.98,7.85,0,0.98,34.35,0,0,0,0,0,0,0,5.89,0,0,4.91,0.98,0,0.98,0
 72-82,0,0,0,0,0,23.56,0,0,0.98,9.82,0.98,0,0,0.98,0,8.83,10.8,0.98,2.94,55.95,0.98,0,0.98,0,0,2.94,0,4.91,0,0,2.94,0,1.96,0,0
 84-94,0,0,0,0,0,15.93,3.19,0,0,2.12,0,0,1.06,2.12,0,32.92,6.37,2.12,2.12,19.12,1.06,2.12,0,0,0,1.06,0,21.24,0,0,1.06,0,0,1.06,0
 96-106,0,0,1.09,1.09,2.19,14.21,0,0,1.09,7.65,0,0,1.09,0,0,55.74,5.46,0,1.09,42.62,1.09,0,0,0,0,0,0,13.11,0,0,1.09,0,1.09,3.28,1.09
108-118,0,0,2.3,1.53,3.06,11.49,0,0,3.06,3.83,0,0,0,0,0.77,91.92,11.49,0,13.02,58.98,0,0,0,0,0,1.53,0,8.43,0.77,0,0,0,0,0,0.77
120,0,0,7.84,5.88,3.92,13.72,0,0,0,3.92,1.96,0,0,0,0,50.95,23.52,1.96,25.48,35.28,0,0,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0
