stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,2,1,0,0,1,7,0,1,0,0
 24-34,0.82,0,4.1,0,4.93,0,0,1.64,0,0,0,0,0,0,0.82,0,4.93,0.82,0,4.1,110.82,2.46,0,0,0,2.46,0,0.82,1.64,0,24.63,0,3.28,0,0
 36-46,0,0,0,0,8.86,0,0.81,4.83,0,0,0,0,0,0,0,0,8.06,0,0,1.61,99.1,0,1.61,0,0,1.61,0,0,0,0,24.98,0,3.22,0,0
 48-58,0,0,0,0,18.36,1.15,0.57,7.46,0,0,0,0,0,0.57,0,0,3.44,0,0,0,74.02,0.57,0,0,0.57,1.72,0,0,0,0,15.49,0,1.72,0,0
 60-70,0,0,3.93,0,11.78,0,0.98,2.94,0,0,0,0,0,0,0,0,5.89,0,0,0,37.3,0,0,0,0,1.96,0,0,0,0,5.89,0,0,0,0
 72-82,1.96,0.98,1.96,0,25.52,0.98,0,10.8,0,0,0,0,0,0,0,0.98,16.69,0,0.98,1.96,96.2,0,0.98,0.98,0,1.96,0,0,0,0,23.56,0,1.96,1.96,0
 84-94,1.06,0,3.19,0,20.18,0,1.06,6.37,0,0,1.06,0,1.06,0,1.06,0,10.62,0,0,0,36.11,2.12,1.06,0,0,11.68,0,0,0,0,6.37,0,5.31,0,0
 96-106,0,0,2.19,0,15.3,2.19,0,6.56,0,0,0,1.09,0,0,0,0,4.37,0,0,0,25.14,0,1.09,1.09,0,7.65,0,0,0,0,1.09,1.09,1.09,0,2.19
108-118,0,0,2.3,1.53,6.89,0,0.77,3.83,0.77,0,0,0,0.77,0,0,0,8.43,0,0,0.77,26.04,0,0.77,1.53,0,3.06,0,0,0,0,0,0,1.53,0,1.53
120,0,0,1.96,0,9.8,0,0,9.8,0,0,0,0,0,0,0,0,5.88,0,0,0,37.24,3.92,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0
