stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.06,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,261.2,40.91,0,0,173.08,0,3.15,3.15,3.15,0,0,25.18,0,0,0,0,0
 14-21,0,0,13,12,281,4,0,10,0,3,0,3,9,1,0,0,2,0,2,0,0,22,0,0,23,52,105,2,28,1,0,7,3,119,8,162,463,130,0,0,2,0
 24-34,0,0,11.49,13.95,137.9,0.82,0,20.52,2.46,21.34,0,2.46,9.03,0,0.82,0,4.1,0,40.22,1.64,0.82,25.45,1.64,0,32.01,83.73,21.34,18.06,37.76,0,0,36.12,0,0.82,9.03,37.76,66.49,55,0,0,0.82,0
 36-46,0,0,8.06,1.61,32.23,0,0,6.45,4.03,7.25,4.03,5.64,2.42,0,0,0,0.81,0,29.81,0,1.61,28.2,0.81,0,16.11,54.79,8.86,10.47,22.56,0,0.81,38.67,0.81,0,2.42,14.5,1.61,19.34,0,0,0.81,0
 48-58,0,0.57,7.46,0.57,32.13,0,0,10.33,4.59,7.46,3.44,9.18,0,0.57,0,0,0,0,28.12,0.57,0,30.41,0,1.15,10.33,29.26,7.46,8.03,25.82,0,0,22.95,0.57,0,2.87,8.03,0,20.08,0,0,0,0
 60-70,0,0,3.93,0,26.5,0,0,13.74,5.89,4.91,2.94,11.78,5.89,0,0,0,1.96,0.98,44.17,0,1.96,47.11,0.98,0.98,5.89,31.41,5.89,7.85,34.35,0,0,20.61,0.98,0,0,3.93,0,3.93,4.91,2.94,0,0
 72-82,0,0,18.65,0,30.43,0.98,0,19.63,10.8,7.85,9.82,27.49,11.78,0,0.98,0.98,4.91,0.98,64.79,1.96,0,114.85,0,5.89,8.83,39.27,3.93,7.85,63.81,0,0,8.83,0.98,0,1.96,6.87,0,7.85,18.65,2.94,0,3.93
 84-94,0,0,11.68,0,66.91,0,0,14.87,16.99,12.74,8.5,20.18,27.61,0,1.06,0,3.19,1.06,88.15,2.12,1.06,49.92,3.19,4.25,6.37,16.99,10.62,23.36,95.58,0,0,48.85,0,0,7.43,7.43,0,9.56,84.96,3.19,2.12,2.12
 96-106,0,0,21.86,0,60.11,2.19,1.09,14.21,14.21,7.65,8.74,28.41,31.69,0,1.09,1.09,4.37,2.19,146.44,2.19,1.09,90.71,0,3.28,9.84,34.97,3.28,28.41,111.47,0,1.09,34.97,0,0,7.65,5.46,0,8.74,151.91,7.65,1.09,9.84
108-118,0,0,19.92,2.3,50.55,2.3,1.53,19.15,19.15,13.02,12.26,19.92,26.04,0,0,0.77,3.06,0.77,98.81,2.3,0.77,83.49,0.77,4.6,9.96,37.53,11.49,19.92,81.19,0,0.77,28.34,1.53,0,7.66,6.13,0,3.06,125.62,4.6,1.53,5.36
120,0,0,7.84,1.96,54.87,0,0,11.76,23.52,1.96,1.96,9.8,19.6,0,1.96,1.96,1.96,0,48.99,7.84,0,64.67,1.96,7.84,7.84,33.32,11.76,7.84,68.59,0,0,29.4,0,0,9.8,1.96,0,3.92,41.16,0,0,7.84
