stage,blastomeres,endoderm,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,15.77,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,9,2,1,1,1,0,0,0,8,20,1,0
 24-34,0,0,0,0,0,0,0,14.78,0,0.82,0.82,1.64,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,35.45,0,6.45,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,2.3,0,0,0.57,0,40.74,0,2.87,0.57,1.15,0,0,0,0.57,0,1.15,0
 60-70,0,0,1.96,0,0,0,0,42.21,0,1.96,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,58.9,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,79.65,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,1.09,0,0,0,108.19,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0.77,0.77,0,0,94.21,0,3.06,0,0,0,0.77,0,0,0,0,0
120,0,0,0,3.92,0,0,0,86.23,0,0,0,1.96,0,1.96,0,0,0,0,1.96
