stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,395.34,5429.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,539.41,6969.4,0,18.39,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,245.19,12.26,0,0,79.69,98.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,152.47,147.21,0,260.24,0,0,0,423.22,0,0,0,0,0,226.07,0,0,0,0,0,0,0,0,0,0,0,3538.25,139.32,0,0,1679.75,2.63,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,94.41,0,135.32,0,12.59,0,264.35,0,0,0,0,0,119.58,0,0,0,0,0,0,0,0,0,0,0,1542.01,100.7,0,0,815.07,6.29,18.88,0,84.97,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,13,88,15,0,9,0,0,0,9,9,13,0,0,1,0,0,0,0,18,1,0,17,71,27,1,2,10,0,8,64,11,3,55,31,0,0,1,0,0
 24-34,0,0,0.82,0,38.58,0,0,3.28,0,0.82,0,15.6,0.82,0,0,0,5.75,0,0,5.75,0,7.39,0,0,4.93,28.73,0,6.57,2.46,0,8.21,0,0,12.31,0.82,10.67,33.66,0,0,0,0,0.82
 36-46,0,0,0,0,10.47,0,0,3.22,0.81,1.61,0,14.5,1.61,0,0,0,0,0,0.81,0,0,6.45,0,0,1.61,25.78,0.81,1.61,0.81,0,13.7,2.42,0,7.25,0.81,0,35.45,0,0,1.61,0,0
 48-58,0,0,0,0,5.74,2.3,0,5.74,0,2.3,0,24.67,0,0,0.57,0,0.57,0,0,0,0.57,6.31,0.57,0,1.15,11.48,0.57,1.72,1.15,0,20.08,0.57,0,2.3,0,0,24.67,0,0,0,0,0.57
 60-70,0,0,0,0,6.87,4.91,0,17.67,0,1.96,0,33.37,0,0.98,0,0,0.98,0,0.98,0,0,3.93,0,0.98,2.94,19.63,0,4.91,2.94,0,12.76,0.98,0,0.98,0,0,20.61,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,14.72,0,13.74,0,3.93,0,53.01,0,0.98,0,0,0.98,0.98,0.98,0,0,10.8,2.94,0,0.98,20.61,0.98,11.78,2.94,0,17.67,0,0,1.96,0,0,16.69,0,0,0,0.98,0
 84-94,0,0,0,0,20.18,12.74,0,11.68,0,2.12,0,37.17,2.12,0,0,0,0,0,2.12,0,1.06,6.37,2.12,1.06,0,5.31,0,8.5,11.68,0,47.79,0,0,5.31,0,0,11.68,0,0,1.06,0,0
 96-106,0,0,0,0,15.3,22.95,1.09,7.65,1.09,2.19,1.09,42.62,1.09,0,0,0,2.19,0,4.37,0,0,9.84,0,0,2.19,10.93,0,5.46,10.93,0,87.43,2.19,0,4.37,0,0,18.58,1.09,1.09,0,1.09,0
108-118,0,0,0,0,13.02,16.85,0,5.36,0,4.6,0,32.94,1.53,0,0,0.77,0.77,2.3,5.36,0,0,16.85,2.3,0.77,0,12.26,0.77,8.43,11.49,0,71.23,1.53,0,3.06,0,0,9.96,0.77,0,3.06,0,0
120,0,0,1.96,0,9.8,17.64,0,9.8,0,1.96,0,15.68,0,0,0,0,0,0,3.92,0,0,11.76,1.96,1.96,3.92,11.76,1.96,9.8,7.84,0,50.95,3.92,0,5.88,0,0,7.84,0,1.96,0,0,0
