stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,395.34,5811.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,386.17,4989.52,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,153.24,6.13,0,0,42.91,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,81.49,84.12,0,105.15,0,0,0,212.93,0,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,0,2452.59,73.6,0,0,856.96,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,53.5,0,12.59,0,157.35,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1409.84,25.18,0,0,503.52,6.29,3.15,0,44.06,0,0,6.29,0,0,0,0
 14-21,1,0,1,9,211,46,0,85,0,0,0,19,8,5,2,1,15,0,1,1,1,76,1,0,63,812,110,4,8,18,75,0,85,11,1,90,214,0,4,0,0
 24-34,0,0,0.82,0.82,27.09,7.39,0,108.35,0,0,1.64,21.34,0,0.82,1.64,6.57,1.64,0.82,1.64,0,0,68.13,1.64,0.82,26.27,722.35,4.93,9.03,7.39,0,53.36,0,0,0.82,2.46,11.49,150.22,0,12.31,0,0.82
 36-46,0,0,0.81,0,8.86,8.06,0,223.98,0.81,0.81,0,15.31,0,0,0.81,1.61,0,0.81,0.81,0.81,0,54.79,1.61,0,14.5,497.9,4.03,4.03,2.42,0,14.5,0,0,1.61,0,0,116.02,0,2.42,0,3.22
 48-58,0,0,0,0,8.03,6.31,0,278.87,0,0.57,4.02,17.21,0,0,1.15,2.3,0.57,1.15,0,0,0,61.97,0.57,4.02,11.48,216.32,1.15,2.87,1.72,0,8.03,0,0,0,0,0,31.56,1.15,2.87,0,0.57
 60-70,0,0,0,0,9.82,2.94,0,247.34,0,1.96,0.98,11.78,0.98,0,0.98,0.98,0.98,1.96,0.98,0.98,0,71.65,0,2.94,3.93,154.1,1.96,0,1.96,0,2.94,0,0,0,0,0,8.83,0,0.98,0,0.98
 72-82,0,0,0,0,6.87,1.96,0,102.09,0,0.98,4.91,17.67,0,0,0,2.94,0,0.98,0,1.96,0,72.64,0.98,0,9.82,92.28,0.98,1.96,2.94,0,1.96,0,0,0,0,0,4.91,0.98,1.96,0,0
 84-94,0,0,0,0,7.43,3.19,0,95.58,0,2.12,1.06,10.62,4.25,0,1.06,4.25,1.06,0,1.06,2.12,1.06,46.73,0,5.31,11.68,63.72,1.06,2.12,2.12,0,0,0,0,0,0,0,1.06,3.19,4.25,2.12,0
 96-106,0,0,0,0,10.93,7.65,0,52.46,0,1.09,0,10.93,1.09,0,0,5.46,1.09,1.09,0,0,0,31.69,1.09,0,5.46,44.81,1.09,0,5.46,0,1.09,0,0,0,0,0,2.19,0,3.28,0,0
108-118,0,0,0,0,7.66,5.36,0.77,46.72,0,0,0.77,8.43,1.53,0,0,3.06,0.77,0.77,0,1.53,0.77,23.74,0,0.77,8.43,57.45,0.77,1.53,0.77,0,3.06,0,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,7.84,0,58.79,1.96,0,1.96,9.8,0,0,1.96,3.92,0,1.96,1.96,0,0,25.48,0,1.96,13.72,78.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
