stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,9.03,0.82,0,0.82,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,0,9.67,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.02,2.87,0,3.44,0.57,1.72,14.92,0,0,0.57,0,0,5.74,0,0,0
 60-70,0,0,0.98,0,4.91,0,0,0,0,0,3.93,0.98,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,6.87,0,0,1.96,0,0.98,1.96,0,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,3.19,0,0,3.19,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,3.28,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,1.53,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
