stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,7.39,0,0,0,0,0.82,0.82,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,4.83,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,1.06,0,0,1.06,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,1.53,2.3,0.77,1.53,0,0.77,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,0
