stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,3,68,10,0,1,0,2,0,2,6,1,22,0,2,0,0,24,0,193,1,0,334,68,8,0,4,3,0,79,4,74,71,341,1016,20,0,0,1,0,0
 24-34,0,0,2.46,33.66,2.46,0,10.67,18.88,3.28,10.67,3.28,4.1,0,10.67,0,18.88,0,0.82,31.19,0.82,214.24,4.93,0.82,292.22,119.02,1.64,3.28,4.1,0,0,159.25,0.82,0.82,60.74,115.74,311.1,27.09,0,0,8.21,0,0
 36-46,0,0,0,12.09,0,0,12.89,11.28,2.42,27.39,6.45,0,0.81,5.64,0,9.67,3.22,1.61,7.25,0.81,183.69,2.42,1.61,116.82,69.29,1.61,2.42,2.42,0,0,149.85,0.81,0,28.2,35.45,4.03,16.11,0,0,2.42,0,0
 48-58,0,0,0,9.75,0.57,0,24.1,9.75,2.3,23.53,7.46,0.57,1.72,4.02,1.15,3.44,2.3,3.44,4.59,0.57,123.94,4.59,1.15,66.56,52.22,0.57,4.59,1.15,0,0,84.35,0,0,15.49,17.21,0,11.48,0,0,1.15,0,1.15
 60-70,0,0,0,15.7,0,0,39.26,16.69,3.93,24.54,13.74,6.87,0.98,0.98,0,0.98,8.83,5.89,2.94,0,148.21,0.98,2.94,27.48,33.37,0,3.93,1.96,0,0,61.84,0,0,21.59,5.89,0,3.93,0,1.96,0,1.96,0
 72-82,0,0.98,0,25.52,1.96,0,27.49,2.94,2.94,29.45,6.87,18.65,0.98,0,2.94,6.87,10.8,3.93,3.93,0,153.14,3.93,12.76,32.39,50.06,0,0,2.94,0,0.98,74.61,0,0,32.39,2.94,0,0.98,0,0.98,1.96,12.76,0
 84-94,0,0,0,36.11,1.06,0,18.05,6.37,4.25,22.3,5.31,45.67,1.06,2.12,7.43,4.25,22.3,3.19,5.31,0,123.2,4.25,12.74,25.49,26.55,0,2.12,5.31,0,1.06,165.68,0,0,72.22,1.06,0,1.06,7.43,1.06,1.06,8.5,1.06
 96-106,0,2.19,0,40.44,2.19,0,20.76,8.74,6.56,9.84,6.56,64.48,1.09,2.19,7.65,14.21,46.99,3.28,2.19,0,109.28,1.09,14.21,28.41,40.44,0,5.46,3.28,1.09,0,138.79,1.09,0,43.71,0,0,2.19,2.19,2.19,5.46,20.76,0
108-118,0,0.77,0,38.3,4.6,0.77,13.79,9.96,4.6,13.02,3.06,62.81,0,0,9.19,15.32,51.32,4.6,2.3,0,76.6,3.06,3.06,26.04,38.3,0,1.53,3.06,0,0.77,114.13,0,0,40.6,3.06,0,0.77,5.36,0,2.3,7.66,0
120,0,0,1.96,33.32,0,1.96,15.68,0,7.84,13.72,1.96,47.03,0,1.96,3.92,5.88,45.08,1.96,3.92,0,56.83,3.92,0,23.52,37.24,0,1.96,0,0,0,97.99,0,0,39.2,5.88,0,1.96,5.88,0,1.96,11.76,0
