stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,52.71,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,0,0,10.51,0,0,0,0,102.52,2.63,0,0,31.54,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,1,3,19,0,0,0,0,0,1,3,6,1
 24-34,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0,3.28,0,26.27,0,0,0,0,0,0,0,5.75,0.82
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0.81,0.81,22.56,0,0,0,0,0.81,0,0,7.25,0.81
 48-58,0,0,0,0,0,2.87,0,1.72,4.02,0,0,0,0,2.87,0,17.79,0,0,0,0,0.57,0,0,2.3,0.57
 60-70,0,0,0,0,0,7.85,0,0,0.98,0.98,0,0,0,1.96,1.96,10.8,0,0,0,0,1.96,0,0,3.93,0
 72-82,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,6.87,0.98,17.67,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,0,2.12,1.06,15.93,0,1.06,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,0,4.37,0,0,0,0,0,0,0,4.37,0,6.56,0,2.19,0,0,0,0,0,4.37,0
108-118,0,0,0,0,0,2.3,0,0,3.06,0,0,0.77,0.77,0.77,0.77,5.36,0,0.77,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0
