stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0,4,0,4,16,66,0,0,0,0,0
 24-34,0,2.46,1.64,0,7.39,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0.82,412.07,0,4.93,1.64,0,0,0.82,0,0,1.64,0,178.13,0,0,0,0,0
 36-46,0,0,0.81,0,33.84,0,0,0,8.06,0,0,0,0,0,0,0,4.83,0,0,2.42,973.25,0.81,4.83,1.61,0,0,0,0,0,0,0,265.07,0,0,0,0,0
 48-58,0,0,4.02,0.57,110.74,0,0,0.57,30.99,0,0.57,0,0,0,0,1.15,20.66,0,0.57,6.31,1222.2,0.57,3.44,0.57,0,0,0,0,0,1.15,0,269.69,0,0.57,1.15,0,1.15
 60-70,0,0.98,0.98,0,260.1,0.98,0.98,0,26.5,0,0.98,0.98,0,0.98,0,0.98,35.33,0,0.98,6.87,1352.54,0.98,5.89,0.98,0,1.96,0,0,0,0,0,250.29,0,0.98,0,0.98,0
 72-82,0,0.98,6.87,0,320.02,0,0,2.94,26.5,0.98,0,0,0.98,0,0.98,0.98,64.79,0,1.96,5.89,963.99,0,4.91,2.94,0,0.98,0,0,0,0,0,138.41,0,0.98,0.98,1.96,0
 84-94,0,1.06,6.37,0,191.17,3.19,1.06,0,29.74,3.19,0,1.06,2.12,0,0,0,40.36,0,4.25,6.37,509.78,0,1.06,0,0,0,2.12,0,1.06,1.06,0,69.03,0,2.12,1.06,4.25,2.12
 96-106,0,0,6.56,2.19,155.18,6.56,0,1.09,19.67,2.19,0,2.19,0,0,0,0,38.25,1.09,2.19,6.56,382.5,0,7.65,1.09,0,0,3.28,0,0,1.09,0,26.23,1.09,0,3.28,4.37,0
108-118,0,0,6.89,0.77,98.81,2.3,0,0.77,16.85,0.77,0,0,1.53,0,0.77,0,27.57,0,3.83,2.3,470.3,0,6.13,0,0,0.77,0,0,0,0.77,0,18.38,0,0,0,0.77,0
120,0,0,3.92,0,96.03,1.96,1.96,0,13.72,0,0,0,0,0,0,0,19.6,0,3.92,5.88,380.2,0,1.96,0,0,3.92,1.96,0,0,0,0,13.72,0,0,0,3.92,0
