stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,1,0,4,4,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,4.93,0,0,14.78,0.82,0,0,0,0,0,0,0.82,0,4.1,0.82,0,3.28
 36-46,0,0,0.81,0,0,0,0,0,8.06,0.81,0,0,5.64,0,0,0,0,0,0,0,0,0,2.42,0,0,4.03
 48-58,0,0,0.57,0,0,0,0,0,6.89,2.3,0.57,0,6.31,0,0,0,0,0,0,0,0,0,0.57,0,0,3.44
 60-70,0,0,0,0,5.89,0,1.96,0,3.93,2.94,0,0,9.82,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,16.69,0.98,0,0,3.93,4.91,0,0.98,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,12.74,0,3.19,0,4.25,4.25,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,14.21,0,1.09,0,3.28,4.37,0,1.09,14.21,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,13.79,0,3.06,0,7.66,2.3,0,0,12.26,0,0,1.53,0,0,0,0,0,0,1.53,0,0,0.77
120,0,0,1.96,0,7.84,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
