stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,slow.muscle,spinal.cord,taste,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,7.25,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0,16.07,0,0,2.3,1.72,0,0
 60-70,0,0,0,0,9.82,0.98,0,0.98,0,0,0,0,0,0.98,43.19,0.98,0,0,2.94,0,0
 72-82,0,0,1.96,0,41.23,0.98,0,0,0,0,0,0,0.98,0.98,85.4,2.94,0,0,8.83,0,1.96
 84-94,0,0,2.12,2.12,14.87,1.06,0,2.12,0,0,0,0,0,1.06,49.92,3.19,0,0,6.37,0,0
 96-106,0,0,0,0,28.41,3.28,0,2.19,0,1.09,0,0,0,0,50.27,4.37,1.09,0,3.28,0,0
108-118,0,0,0.77,0,35.23,5.36,0,3.06,0.77,0,0.77,0.77,0,2.3,43.66,2.3,0,2.3,1.53,0.77,0
120,0,0,1.96,0,31.36,3.92,0,11.76,0,0,0,1.96,0,0,109.75,1.96,0,0,0,0,0
