stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,21.03,0,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.11,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,3,0,35,0,0,0,0,0,0,0,0,7,0,0,1,383,0,0,4,1,0,0,0,2,1,4,222,0,0,0,0,0
 24-34,0,0,0,8.21,0,10.67,0.82,105.07,0,0.82,0.82,0,0,0,0,0.82,33.66,0,0,10.67,1055.62,0,0.82,7.39,0,0.82,0.82,0,0,0,0.82,652.58,0,0,18.88,0,1.64
 36-46,0,0,0,2.42,0,12.09,0.81,285.21,0,0,0.81,0,0,0.81,0.81,0.81,54.79,0,0.81,16.92,912.02,0.81,0.81,8.86,0,0,0.81,0,0,0,0,780.69,0,0,9.67,0,0
 48-58,0.57,0,0,2.87,0,33.28,2.87,403.96,0.57,0,0,0,0,0,0,0,109.02,0,1.15,10.9,387.32,0.57,0,17.79,0,1.15,0,0,0,0,0,583.56,0,0,9.75,0,0.57
 60-70,0,0,0,0.98,0,14.72,0,431.87,0,0,0.98,1.96,0,0,0,0,158.03,0,0.98,8.83,145.27,0.98,0,3.93,0,0,0,0,0,0,0,178.64,0,0,4.91,0.98,0
 72-82,0,0,0,1.96,1.96,49.08,4.91,630.23,0.98,0,0.98,0,0,0.98,1.96,0.98,251.31,0,3.93,16.69,131.54,0.98,0,32.39,0,0.98,0.98,0.98,0,0,0,52.03,0.98,3.93,2.94,0,0
 84-94,0,0,0,7.43,0,38.23,0,366.4,0,0,0,0,1.06,0,0,0,162.49,0,7.43,5.31,110.45,0,0,15.93,0,0,0,0,0,0,0,55.23,0,2.12,4.25,1.06,1.06
 96-106,0,0,0,5.46,1.09,31.69,5.46,372.66,0,0,1.09,2.19,1.09,0,0,1.09,149.72,2.19,1.09,12.02,112.56,0,0,25.14,0,0,0,0,0,0,0,21.86,0,1.09,7.65,4.37,0
108-118,0,0,0,2.3,1.53,14.55,3.83,303.32,0,0,0,0.77,0,0,0.77,0,120.26,0,0,7.66,83.49,0.77,0.77,16.09,0,0.77,0.77,0,0,0,0,12.26,0,0.77,6.13,0,0
120,0,0,0,5.88,0,25.48,0,244.97,1.96,0,1.96,3.92,0,1.96,0,0,66.63,0,0,5.88,72.51,0,0,19.6,0,0,0,0,0,0,0,3.92,0,1.96,9.8,1.96,0
