stage,blastomeres,eye,glial,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,6.13,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,2.63,0,2.63,0
 10-12,0,0,0,0,0,0,0,6.29,0,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,4.1,0,0,0,0,2.46
 36-46,0,0.81,0,0,0,0.81,0,8.86,0.81,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,0.57,11.48,0,0,0,0,1.15
 60-70,0,2.94,0,0.98,0,0,0,12.76,0,0,0,0,0.98
 72-82,0,2.94,0,0.98,0,0,0,11.78,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,0,0,13.81,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,13.11,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,9.96,0,0,0,0,0
120,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0
