stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,6.29,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,5,6,0,0,0,0,11,0,6,2,15,42,1,0,1,0,0
 24-34,0,0,1.64,0.82,3.28,0.82,0,4.93,2.46,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0,1.64,0.82,0,4.1,14.78,0.82,1.64,3.28,0,0,46.79,0,0,1.64,8.21,20.52,2.46,0,2.46,0,0
 36-46,0,0,0.81,0,3.22,0,0,4.03,14.5,0.81,0,0.81,0,0.81,0,0,0.81,0,0.81,0,0.81,1.61,0,0,3.22,20.95,0,4.03,2.42,0,0,46.73,0.81,0,3.22,12.89,0.81,4.83,0,1.61,0,0
 48-58,0,0,1.15,0,1.15,0,0,9.18,12.05,1.72,0,6.89,0,0,0.57,0.57,0.57,0,0.57,0.57,0.57,3.44,1.15,0,3.44,17.79,0.57,1.72,3.44,0,0,17.79,0,0,0,16.64,0,4.59,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,13.74,16.69,2.94,0,10.8,0.98,1.96,0,0.98,0.98,0,4.91,0,0,5.89,0.98,0,3.93,26.5,0,1.96,6.87,0,0.98,10.8,0,0,0.98,12.76,0,6.87,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,0,3.93,15.71,15.71,0.98,3.93,52.03,1.96,0,0,2.94,1.96,0,3.93,0,0,15.71,2.94,0,6.87,20.61,0,1.96,15.71,0,0,19.63,0,0,1.96,5.89,0,2.94,2.94,2.94,0.98,2.94
 84-94,0,0,0,0,4.25,1.06,2.12,18.05,10.62,4.25,1.06,16.99,3.19,0,0,3.19,5.31,0,7.43,3.19,0,8.5,4.25,0,4.25,13.81,0,2.12,27.61,0,0,19.12,0,0,3.19,10.62,0,6.37,2.12,1.06,1.06,2.12
 96-106,0,0,2.19,0,17.49,1.09,2.19,29.51,21.86,3.28,0,34.97,8.74,0,0,6.56,3.28,0,14.21,4.37,1.09,9.84,1.09,2.19,18.58,34.97,0,10.93,30.6,0,0,24.04,0,0,3.28,17.49,0,6.56,1.09,5.46,1.09,1.09
108-118,0,0,2.3,0,9.19,1.53,7.66,29.11,17.62,4.6,0,24.51,6.89,0,0,3.06,2.3,1.53,5.36,3.83,0,13.79,0,0,10.72,16.09,2.3,7.66,21.45,0,0.77,23.74,0,0,3.06,12.26,0,1.53,0.77,2.3,0,0.77
120,0,0,1.96,0,9.8,1.96,3.92,19.6,15.68,5.88,0,17.64,9.8,0,0,3.92,1.96,0,1.96,1.96,0,15.68,1.96,0,9.8,17.64,0,13.72,27.44,0,0,15.68,0,1.96,0,3.92,0,3.92,0,1.96,0,0
