stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,13,6,4,0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,0,3,54,0,1,0,2,5,2,1,0,3,20,0,3,0,0
 24-34,0,0,7.39,1.64,4.1,0,0,0,1.64,0,0,0,15.6,0,0,0,0,1.64,7.39,0,0,1.64,58.28,0,1.64,0.82,0,9.03,0,0,0,2.46,14.78,0,9.85,0,0
 36-46,0,0,3.22,0,10.47,0,0,0.81,0.81,0,0,0.81,28.2,0,0,0,0,0,4.83,0.81,0,1.61,44.31,0,0.81,0,0,4.03,0,0.81,0,0,17.72,0,7.25,0,1.61
 48-58,0,0,2.87,0,17.79,0,0,0,3.44,0,0.57,1.15,15.49,0.57,0.57,0,0,3.44,5.74,0.57,0.57,2.3,21.8,0,0.57,0.57,0,5.74,0,0,0,0,6.89,0,4.02,0,3.44
 60-70,0,0,2.94,0,13.74,0,0.98,0,1.96,0,0.98,0.98,24.54,0,0,0,0,1.96,10.8,0,0,2.94,17.67,0,0,0,0,1.96,0,0.98,0,0,1.96,0.98,4.91,0,1.96
 72-82,0,0,5.89,2.94,12.76,0,0,0,3.93,0,0,0.98,42.21,0,0.98,0,0,0.98,10.8,0.98,0.98,0,9.82,0.98,0.98,0,0,2.94,0,0,0.98,0,1.96,1.96,5.89,0,1.96
 84-94,0,0,10.62,0,9.56,0,1.06,1.06,4.25,0,0,0,64.78,0,1.06,0,0,7.43,7.43,0,0,0,8.5,0,0,2.12,0,3.19,0,0,0,0,1.06,1.06,7.43,0,4.25
 96-106,0,0,6.56,1.09,8.74,0,0,3.28,5.46,0,0,2.19,85.24,0,0,0,0,4.37,15.3,0,0,2.19,7.65,0,0,1.09,0,8.74,0,0,0,0,0,0,12.02,2.19,1.09
108-118,0,0,6.89,0.77,6.89,0,3.83,0.77,3.06,0.77,0,1.53,87.32,1.53,7.66,0.77,0,4.6,13.02,0.77,0,0,6.13,0,0,0,0,6.89,0,0,0,0,0.77,2.3,9.96,0,2.3
120,0,0,13.72,1.96,0,1.96,3.92,0,0,0,0,0,96.03,0,1.96,0,0,3.92,1.96,0,1.96,1.96,13.72,0,0,0,0,1.96,0,0,0,0,0,0,9.8,0,0
